# Broad-market and sector context for the swing-trading simulator.
#
# The simulator deals a random S&P 500 chart; these are the tickers that say
# what the tide was doing on the day it dealt — three broad indices, the eleven
# GICS sector SPDRs, and the VIX. Fed to
#   python -m src.data.refresh --tickers-file config/market_context.csv
# and read back by scripts/site/build_sim_market.py.
#
# The `sector` column is load-bearing for the SPDRs: it is the GICS sector name
# exactly as config/sp500.csv spells it, and that string is what maps a stock
# to its ETF. Change one and you must change both. `Benchmark` and `Volatility`
# are not GICS sectors and are skipped when the map is built.
#
# Lines starting with # are ignored.
ticker,name,sector
SPY,SPDR S&P 500 ETF,Benchmark
QQQ,Invesco QQQ Trust,Benchmark
IWM,iShares Russell 2000 ETF,Benchmark
XLB,Materials Select Sector SPDR,Materials
XLC,Communication Services Select Sector SPDR,Communication Services
XLE,Energy Select Sector SPDR,Energy
XLF,Financial Select Sector SPDR,Financials
XLI,Industrial Select Sector SPDR,Industrials
XLK,Technology Select Sector SPDR,Information Technology
XLP,Consumer Staples Select Sector SPDR,Consumer Staples
XLRE,Real Estate Select Sector SPDR,Real Estate
XLU,Utilities Select Sector SPDR,Utilities
XLV,Health Care Select Sector SPDR,Health Care
XLY,Consumer Discretionary Select Sector SPDR,Consumer Discretionary
^VIX,CBOE Volatility Index,Volatility
