symbol,signal_date,entry_price,target_price,stop_price,rsi,pullback_pct,distance_to_ma20,ma20,ma50,ma200,in_uptrend,trend_quality,confidence,outcome,exit_price,exit_date,days_to_exit,pnl_pct,hit_target,hit_stop,is_loss,loss_streak,tier
AAPL,2025-11-17,267.46,272.81,259.44,6.7,3.3,0.34,268.39,256.3,225.06,True,100,95,WIN,272.81,2025-11-20,4,1.9,True,False,False,1,Tier 1 (TQ 100 - Strong Uptrend)
AAPL,2025-11-18,267.44,272.79,259.42,6.7,3.3,0.44,268.63,256.97,225.26,True,100,95,WIN,272.79,2025-11-20,3,1.9,True,False,False,1,Tier 1 (TQ 100 - Strong Uptrend)
AAPL,2025-11-20,266.25,271.58,258.26,16.8,3.8,1.2,269.5,258.54,225.62,True,100,85,WIN,271.58,2025-11-20,1,1.9,True,False,False,1,Tier 1 (TQ 100 - Strong Uptrend)
AAPL,2025-12-05,278.78,284.36,270.42,15.1,3.4,1.46,274.76,265.44,227.74,True,100,80,LOSS,270.42,2025-12-18,10,-3.1,False,True,True,2,Tier 1 (TQ 100 - Strong Uptrend)
AAPL,2025-12-08,277.89,283.45,269.55,11.1,3.7,0.96,275.24,265.89,227.9,True,100,95,LOSS,269.55,2025-12-18,9,-3.1,False,True,True,2,Tier 1 (TQ 100 - Strong Uptrend)
AAPL,2025-12-09,277.18,282.72,268.86,7.8,4.0,0.56,275.63,266.35,228.06,True,100,95,LOSS,268.86,2025-12-18,8,-3.1,False,True,True,2,Tier 1 (TQ 100 - Strong Uptrend)
AAPL,2025-12-15,274.11,279.59,265.89,7.0,5.0,0.82,276.38,268.05,228.79,True,20,60,WIN,279.59,2025-12-15,1,1.9,True,False,False,3,Tier 4 (TQ 20 - Downtrend)
AAPL,2025-12-16,274.61,280.1,266.37,22.9,4.9,0.77,276.74,268.41,228.98,True,20,55,EXPIRE,273.08,2025-12-30,10,-0.66,False,False,True,4,Tier 4 (TQ 20 - Downtrend)
AAPL,2025-12-17,271.84,277.28,263.68,7.9,4.5,1.85,276.96,268.73,229.16,True,30,55,EXPIRE,271.86,2025-12-31,10,-0.09,False,False,True,4,Tier 4 (TQ 30 - Downtrend)
AAPL,2025-12-18,272.19,277.63,264.02,21.0,3.2,1.79,277.14,269.01,229.35,True,30,45,WIN,277.63,2026-01-02,10,1.9,True,False,False,5,Tier 4 (TQ 30 - Downtrend)
