Symbol,Entry Date,Exit Date,Entry Price,Exit Price,Shares,Position Value,Risk Amount,Gross P&L,Slippage,Net P&L,Return %,Exit Reason,Hold Days,Cumulative P&L,Account Balance,YearMonth
META,2023-03-10,2023-03-14,178.26475524902344,192.67410278320312,11,1960.9123077392578,100.0,158.50282287597656,1.1,157.40282287597657,8.083116325518658,Profit Target,4,157.40282287597657,10157.402822875976,2023-03
NVDA,2023-03-10,2023-03-14,22.94593048095703,24.043020248413086,68,1560.3232727050781,100.0,74.60210418701172,6.800000000000001,67.80210418701172,4.7811953773961635,Profit Target,4,225.2049270629883,10225.204927062989,2023-03
AAPL,2023-04-10,2023-04-19,159.8656005859375,165.39080810546875,22,3517.043212890625,100.0,121.5545654296875,2.2,119.3545654296875,3.45615785965232,Profit Target,9,344.5594924926758,10344.559492492675,2023-04
NVDA,2023-04-12,2023-04-18,26.473003387451172,27.644025802612305,88,2329.624298095703,100.67802104187012,103.04997253417969,8.8,94.24997253417969,4.423458864951546,Profit Target,6,438.8094650268555,10438.809465026856,2023-04
MSFT,2023-04-20,2023-04-24,280.1290588378906,275.92712295532226,12,3361.5487060546875,100.0,-50.42323059082037,1.2000000000000002,-51.62323059082037,-1.5000000000000013,Trailing Stop,4,387.18623443603514,10387.186234436034,2023-04
META,2023-04-20,2023-04-25,211.59197998046875,208.4181002807617,14,2962.2877197265625,101.57402822875976,-44.43431579589861,1.4000000000000001,-45.83431579589861,-1.5000000000000013,Trailing Stop,5,341.35191864013655,10341.351918640137,2023-04
AAPL,2023-04-25,2023-04-28,161.58238220214844,167.41343688964844,25,4039.559555053711,101.19354565429687,145.7763671875,2.5,143.2763671875,3.6087193467695178,Profit Target,3,484.62828582763655,10484.628285827637,2023-04
NVDA,2023-04-26,2023-05-01,26.933610916137695,28.885990142822266,85,2289.356927871704,101.6098105430603,165.95223426818848,8.5,157.45223426818848,7.24885806349409,Profit Target,5,642.080520095825,10642.080520095826,2023-04
AAPL,2023-05-04,2023-05-05,163.57540893554688,171.25149536132812,28,4580.1114501953125,102.56899877929688,214.930419921875,2.8000000000000003,212.130419921875,4.692689736026168,Profit Target,1,854.2109400177001,10854.2109400177,2023-05
GOOGL,2023-05-04,2023-05-10,103.9049301147461,110.91197204589844,27,2805.4331130981445,100.0,189.19013214111328,2.7,186.4901321411133,6.743704965119757,Profit Target,6,1040.7010721588133,11040.701072158814,2023-05
MSFT,2023-06-08,2023-06-14,319.1567687988281,331.0101013183594,11,3510.7244567871094,99.52678705291748,130.38665771484375,1.1,129.28665771484376,3.7139530407398924,Profit Target,6,1169.9877298736571,11169.987729873657,2023-06
GOOGL,2023-06-09,2023-06-20,121.31339263916016,122.28966781616211,24,2911.5214233398438,101.7267604827881,23.430604248046848,2.4000000000000004,21.03060424804685,0.8047546571431141,Trailing Stop,11,1191.018334121704,11191.018334121703,2023-06
AMZN,2023-06-21,2023-06-22,124.83000183105469,130.14999389648438,22,2746.260040283203,100.0,117.03982543945312,2.2,114.83982543945312,4.261789623803569,Profit Target,1,1305.858159561157,11305.858159561158,2023-06
