date,direction,3HCL_ret,3HCS_ret,HG_ret,copper_implied,3HCL_close,HG_close,3HCL_volume
2013-05-03,UP,18.62,0.0,6.73,6.21,66.18,3.3135,0
2014-03-07,DOWN,-11.94,11.82,-3.63,-3.98,47.88,3.1565,0
2015-01-14,DOWN,-14.78,14.77,-4.7,-4.93,23.69,2.553,17906
2015-03-19,UP,12.06,-11.71,3.38,4.02,27.15,2.6745,0
2015-07-07,DOWN,-16.64,16.51,-3.62,-5.55,18.59,2.451,1100
2015-07-08,UP,13.91,-10.82,2.16,4.64,21.17,2.504,575
2015-09-08,UP,11.75,-12.53,5.13,3.92,18.55,2.4385,5298
2015-09-22,DOWN,-12.68,12.89,-3.81,-4.23,15.41,2.307,10326
2015-09-30,UP,11.93,-11.97,4.08,3.98,16.33,2.3455,5062
2016-06-07,DOWN,-11.65,12.16,-3.12,-3.88,9.52,2.051,1536
2016-11-10,UP,12.77,-12.67,3.68,4.26,16.87,2.5495,2872
2017-02-10,UP,12.93,-12.9,4.31,4.31,20.35,2.762,4895
2017-12-05,DOWN,-11.89,11.94,-4.65,-3.96,21.05,2.9205,1358
2018-08-15,DOWN,-13.43,21.62,-4.43,-4.48,11.78,2.557,19767
2018-09-21,UP,14.87,-14.35,4.24,4.96,15.56,2.8365,23761
2020-03-18,DOWN,-20.07,20.31,-6.69,-6.69,5.43,2.1605,58845
2020-03-23,DOWN,-11.77,10.93,-3.24,-3.92,4.81,2.1195,8714
2020-03-24,UP,17.0,-15.45,3.68,5.67,5.63,2.1975,27464
2020-10-01,DOWN,-13.7,13.98,-5.45,-4.57,11.15,2.8635,3564
2021-02-19,UP,12.02,-11.96,4.43,4.01,28.99,4.09,34456
2021-05-19,DOWN,-11.69,11.67,-3.08,-3.9,38.22,4.5895,32735
2021-06-15,DOWN,-11.73,12.36,-4.24,-3.91,32.99,4.34,17808
2021-07-26,UP,14.08,-13.61,4.14,4.69,37.1,4.589,87253
2021-09-22,UP,13.14,-12.1,3.02,4.38,28.47,4.2525,21564
2021-10-14,UP,11.74,-11.83,2.46,3.91,36.49,4.6315,70350
2021-12-16,UP,11.68,-10.95,2.9,3.89,28.78,4.3005,74047
2022-02-11,DOWN,-12.78,12.72,-3.27,-4.26,31.32,4.505,24641
2022-03-07,DOWN,-11.93,11.26,-4.2,-3.98,35.62,4.722,27566
2022-04-25,DOWN,-12.6,13.9,-2.91,-4.2,29.02,4.449,20049
2022-06-23,DOWN,-12.27,12.43,-4.88,-4.09,17.17,3.7585,13438
2022-07-05,DOWN,-13.16,12.89,-5.36,-4.39,12.56,3.425,36749
2022-07-07,UP,13.06,-11.98,4.8,4.35,13.55,3.582,29666
2022-08-30,DOWN,-11.95,12.43,-2.25,-3.98,13.21,3.545,41162
2022-10-26,UP,12.43,-12.63,5.19,4.14,12.77,3.6295,25559
2022-11-04,UP,23.15,-22.56,7.46,7.72,14.02,3.7145,62960
2024-05-14,UP,15.71,-13.09,3.1,5.24,26.7,4.9535,26804
2024-05-22,DOWN,-17.13,17.8,-4.91,-5.71,24.24,4.8675,46852
2024-06-07,DOWN,-12.49,12.8,-4.19,-4.16,19.06,4.4945,17720
2024-11-06,DOWN,-13.06,13.03,-5.12,-4.35,15.26,4.2225,41359
2025-03-05,UP,18.42,-17.82,5.28,6.14,19.43,4.7665,25348
2025-04-04,DOWN,-22.2,23.18,-8.87,-7.4,15.23,4.3845,88509
2025-04-07,DOWN,-16.89,16.21,-4.92,-5.63,12.66,4.169,81392
2025-04-10,UP,12.59,-13.22,3.48,4.2,14.15,4.321,36008
2025-04-30,DOWN,-15.67,16.04,-5.45,-5.22,15.52,4.56,63664
2025-06-02,UP,13.82,-14.71,3.91,4.61,17.81,4.8345,27270
2025-07-09,UP,24.49,-33.1,-3.57,8.16,22.89,5.4435,101025
2025-07-31,DOWN,-64.71,64.15,-22.25,-21.57,8.57,4.3305,366613
2025-09-24,UP,12.3,-12.07,3.66,4.1,10.93,4.7525,114447
2026-01-05,UP,11.71,-11.62,5.04,3.9,18.08,5.9245,73029
2026-02-03,UP,13.4,-12.96,4.5,4.47,18.89,6.0625,182418
