Date,side,r_letf_pct,r_under_pct,r_ftse250_pct,r_ftse100_pct,beta,w_2mcl,w_3uks
2020-03-20,WIN,6.86,5.32,5.95,0.76,0.83,0.64,0.36
2019-10-11,WIN,5.01,3.62,4.19,0.84,0.67,0.69,0.31
2009-04-03,WIN,4.48,3.37,1.62,-2.31,0.76,0.66,0.34
2000-04-06,WIN,4.35,2.62,2.97,1.13,0.31,0.83,0.17
2008-10-30,WIN,4.3,3.13,3.92,1.16,0.68,0.69,0.31
2020-04-07,WIN,3.88,3.12,5.11,2.19,0.91,0.62,0.38
2000-03-01,WIN,3.76,2.13,2.56,2.12,0.2,0.88,0.12
2019-12-13,WIN,3.73,2.7,3.44,1.1,0.67,0.69,0.31
2023-11-14,WIN,3.72,3.25,3.47,0.2,1.12,0.57,0.43
2009-04-09,WIN,3.67,2.76,3.88,1.48,0.75,0.67,0.33
2003-06-06,WIN,3.61,2.25,2.66,1.13,0.37,0.8,0.2
2000-02-11,WIN,3.54,2.09,1.71,-1.38,0.27,0.85,0.15
2001-10-11,WIN,3.47,2.32,2.43,0.23,0.5,0.75,0.25
2023-02-02,WIN,3.37,2.83,3.6,0.76,1.02,0.6,0.4
2009-01-02,WIN,3.28,2.34,4.19,2.88,0.64,0.7,0.3
2008-11-27,WIN,3.23,2.34,3.53,1.77,0.67,0.69,0.31
2003-03-18,WIN,3.22,1.96,2.17,0.67,0.32,0.82,0.18
2009-03-03,WIN,3.17,2.47,-0.17,-3.14,0.84,0.64,0.36
2009-04-14,WIN,3.16,2.38,2.48,0.13,0.76,0.66,0.34
2022-10-25,WIN,3.07,2.86,2.85,-0.01,1.3,0.54,0.46
1999-04-16,WIN,2.97,1.74,1.56,-0.7,0.26,0.85,0.15
1999-02-02,WIN,2.94,1.82,1.83,0.01,0.36,0.81,0.19
2008-12-09,WIN,2.93,2.13,3.41,1.89,0.68,0.69,0.31
2008-11-04,WIN,2.93,2.14,5.2,4.42,0.69,0.68,0.32
2022-11-10,WIN,2.91,2.61,3.9,1.08,1.19,0.56,0.44
2020-03-17,LOSE,-6.82,-5.4,-2.96,2.79,0.87,0.63,0.37
2016-06-24,LOSE,-5.94,-4.6,-7.18,-3.15,0.82,0.65,0.35
2008-10-17,LOSE,-5.9,-4.44,-0.49,5.22,0.76,0.66,0.34
2020-03-16,LOSE,-5.87,-4.53,-7.79,-4.01,0.81,0.65,0.35
2016-06-27,LOSE,-5.01,-4.27,-6.96,-2.55,1.06,0.59,0.41
2000-04-17,LOSE,-4.97,-3.06,-4.09,-2.97,0.35,0.81,0.19
2001-09-17,LOSE,-4.65,-2.91,-1.78,3.01,0.38,0.8,0.2
2001-09-21,LOSE,-4.63,-2.89,-3.89,-2.7,0.37,0.8,0.2
2020-03-18,LOSE,-4.31,-3.31,-6.58,-4.05,0.81,0.65,0.35
1998-09-01,LOSE,-4.17,-2.67,-3.32,-1.53,0.42,0.78,0.22
2001-09-12,LOSE,-4.1,-2.65,-1.4,2.87,0.44,0.78,0.22
2000-02-08,LOSE,-4.06,-2.5,-1.56,2.73,0.34,0.81,0.19
2008-10-13,LOSE,-3.98,-3.08,3.72,8.26,0.82,0.65,0.35
2001-09-20,LOSE,-3.97,-2.41,-3.54,-3.49,0.32,0.82,0.18
2020-03-13,LOSE,-3.92,-3.07,-0.99,2.46,0.85,0.64,0.36
2008-10-23,LOSE,-3.38,-2.47,-1.67,1.16,0.69,0.69,0.31
2008-10-20,LOSE,-3.34,-2.46,1.4,5.41,0.71,0.68,0.32
2020-03-19,LOSE,-3.27,-2.55,-1.37,1.4,0.84,0.64,0.36
2002-07-16,LOSE,-3.18,-2.21,-1.81,0.69,0.58,0.72,0.28
2016-07-05,LOSE,-3.11,-2.79,-2.37,0.35,1.19,0.56,0.44
2000-03-15,LOSE,-3.08,-1.82,-1.99,-0.62,0.27,0.85,0.15
1998-08-05,LOSE,-2.98,-1.77,-2.27,-1.81,0.28,0.84,0.16
2008-11-18,LOSE,-2.92,-2.13,-0.85,1.85,0.69,0.68,0.32
2007-02-27,LOSE,-2.92,-2.13,-3.72,-2.31,0.69,0.69,0.31
2002-08-06,LOSE,-2.92,-1.91,-0.34,3.37,0.47,0.76,0.24
