friday,fri_ret_pct,mon_gap_pct,mon_close_pct,T+1_pct,T+2_pct
2006-04-21,2.42,-1.94,-2.47,-2.98,-4.49
2006-04-28,1.34,0.76,2.7,3.91,0.86
2006-05-05,-0.47,-1.28,-0.18,0.59,2.6
2006-05-12,-1.69,-2.37,-3.59,-3.49,-4.93
2006-05-19,-1.75,-1.04,1.08,3.36,0.81
2006-05-26,-0.07,1.43,0.84,-0.03,-1.37
2006-06-02,3.11,1.15,-0.23,-0.2,-2.35
2006-06-09,1.42,0.47,-1.45,-4.25,-3.35
2006-06-16,0.14,-0.65,-1.07,-1.45,0.15
2006-06-23,-0.16,-0.33,1.21,1.78,2.12
2006-06-30,0.37,0.63,0.23,1.76,1.43
2006-07-07,-1.3,-0.4,-0.42,0.33,1.85
2006-07-14,-0.04,-0.67,-2.14,-3.37,-4.6
2006-07-21,0.61,-0.75,0.93,-0.75,-0.5
2006-07-28,-1.69,0.41,1.49,2.41,3.82
2006-08-04,-1.06,1.83,3.14,2.13,1.95
2006-08-11,0.19,-1.62,-1.63,-2.18,-3.77
2006-08-18,0.2,1.1,1.87,1.31,-0.27
2006-08-25,-0.3,-1.55,-2.51,-3.55,-2.55
2006-09-01,-1.62,-0.6,-0.69,-2.43,-2.92
2006-09-08,-1.6,-1.18,-1.43,-3.51,-3.12
2006-09-15,-0.19,0.43,0.48,-3.08,-5.15
2006-09-22,-2.24,-0.64,1.89,1.43,4.61
2006-09-29,0.62,-0.53,-2.96,-6.6,-5.19
2006-10-06,-0.44,0.48,0.46,-1.25,-3.13
2006-10-13,0.41,-0.17,1.99,0.63,-1.49
2006-10-20,-2.13,-1.52,-0.72,0.17,3.7
2006-10-27,0.65,-1.59,-3.74,-3.52,-3.48
2006-11-03,2.29,-0.15,1.46,-0.15,1.37
2006-11-10,-2.2,-1.18,-1.78,-2.18,-1.5
2006-11-17,0.69,-0.59,0.06,2.04,0.73
2006-11-24,0.95,-0.21,0.97,1.76,4.52
2006-12-01,0.86,-1.05,-1.54,-1.36,-2.11
2006-12-08,-0.52,-1.08,-1.08,-1.92,-1.31
2006-12-15,1.06,-0.87,-2.1,-0.55,-0.46
2006-12-22,-0.79,0.45,-2.42,-2.97,-3.06
2006-12-29,0.58,-0.35,-4.26,-8.16,-7.31
2007-01-05,0.93,1.86,-0.71,-1.11,-5.16
2007-01-12,0.65,-1.05,-2.89,-0.92,-3.14
2007-01-19,2.78,0.88,-1.33,2.75,3.76
2007-01-26,2.23,-0.76,-2.83,2.33,4.24
2007-02-02,3.14,0.57,-0.49,-0.26,-2.21
2007-02-09,0.48,-1.32,-3.24,-1.26,-3.08
2007-02-16,2.07,-2.21,-1.38,1.03,1.99
2007-02-23,0.26,0.69,0.87,-1.01,1.43
2007-03-02,-0.45,-1.92,-2.72,-1.35,0.55
2007-03-09,-2.3,-1.02,-1.52,-2.33,-1.94
2007-03-16,-0.51,0.17,0.58,0.08,0.78
2007-03-23,0.78,1.46,1.19,1.25,2.83
2007-03-30,-0.5,0.37,0.39,-1.67,-1.91
2007-04-13,-0.25,0.16,-0.62,-2.39,-2.68
2007-04-20,1.69,-0.08,2.34,0.68,2.54
2007-04-27,1.77,-0.46,-1.16,-2.85,-4.34
2007-05-04,-1.99,-0.93,-0.5,0.7,-0.6
2007-05-11,0.87,0.6,-0.02,0.86,-0.08
2007-05-18,-0.12,0.16,1.44,-0.36,0.14
2007-05-25,1.16,-1.52,-2.22,-2.61,-1.09
2007-06-01,1.02,-0.02,1.8,1.13,1.72
2007-06-08,-3.14,0.69,1.59,1.02,2.1
2007-06-15,0.84,-0.21,1.18,1.14,0.04
2007-06-22,0.56,-1.98,0.13,-1.48,-0.02
2007-06-29,1.01,-0.57,1.0,1.02,2.17
2007-07-06,0.98,0.13,-0.6,0.07,-0.04
2007-07-13,1.46,0.23,0.4,0.18,1.87
2007-07-20,-0.14,-1.4,-1.09,-3.23,0.77
2007-07-27,2.7,0.36,-0.42,1.37,0.03
2007-08-03,-2.18,-1.67,-3.97,-3.69,-3.84
2007-08-10,-0.26,1.51,0.39,1.1,2.78
2007-08-17,0.84,-1.18,-0.91,-2.96,-3.11
2007-08-24,1.88,-0.63,1.29,0.73,3.56
2007-08-31,0.5,0.32,1.74,2.65,3.32
2007-09-07,0.23,-0.93,1.78,2.08,3.88
2007-09-14,-0.63,-0.03,1.47,3.78,3.4
2007-09-21,-0.81,-0.26,-0.51,-1.72,-0.71
2007-09-28,-1.4,-0.45,-1.53,-1.47,-2.01
2007-10-05,-0.53,-1.38,-2.44,-1.41,0.19
2007-10-12,0.64,1.56,2.95,4.66,4.11
2007-10-19,-1.51,-0.71,-0.89,-1.95,1.25
2007-10-26,1.5,0.56,1.87,-2.29,2.95
2007-11-02,3.02,-1.43,-1.09,1.33,0.17
2007-11-09,0.93,-2.29,-2.67,-5.14,-2.9
2007-11-16,2.21,0.47,0.8,4.65,3.44
2007-11-23,0.42,-0.46,-0.66,-3.2,-6.46
2007-11-30,-2.41,-1.07,1.13,-0.73,-1.75
2007-12-07,-2.24,0.98,-0.1,1.2,6.44
2007-12-14,-1.24,-0.9,-0.51,-1.59,-0.15
2007-12-21,2.36,-0.5,0.2,2.86,3.32
2007-12-28,-0.47,0.42,-0.17,3.4,3.27
2008-01-04,-1.35,-0.31,-2.34,-1.62,-2.66
2008-01-11,-1.26,1.34,1.59,-0.42,-1.7
2008-01-18,0.72,-2.92,-1.38,-2.85,-0.85
2008-01-25,1.38,-1.08,0.61,1.49,1.63
2008-02-01,-2.6,0.26,1.28,-0.45,-2.06
2008-02-08,4.44,-0.32,2.26,0.95,1.66
2008-02-15,0.22,2.67,3.79,4.46,1.84
2008-02-22,1.64,-0.31,0.18,1.91,0.41
2008-02-29,-1.3,1.32,1.12,-1.27,3.58
2008-03-07,-0.19,-0.79,2.27,3.12,3.81
2008-03-14,-0.8,-2.99,-3.71,-0.82,-4.88
2008-03-28,-1.59,0.41,-3.57,-3.92,-0.7
2008-04-04,1.47,1.9,2.42,2.72,4.74
2008-04-11,0.34,0.42,1.31,3.35,4.15
2008-04-18,1.54,-0.34,0.63,1.38,1.48
2008-04-25,2.64,0.22,0.03,-2.79,-3.3
2008-05-02,3.34,1.96,3.58,5.33,6.85
2008-05-09,1.45,-1.27,-1.97,-0.4,-1.86
2008-05-16,2.06,0.18,0.52,1.98,5.91
2008-05-23,1.25,-1.51,-2.52,-0.96,-4.39
2008-05-30,0.78,-1.09,-0.01,-2.34,-3.96
2008-06-06,7.91,-1.92,-2.78,-4.59,-1.05
2008-06-13,-1.86,3.25,-0.19,-0.48,1.55
2008-06-20,2.09,0.29,1.63,1.66,-0.59
2008-06-27,0.56,1.24,-0.08,0.74,2.72
2008-07-11,2.67,0.09,0.08,-4.26,-6.93
2008-07-18,-1.03,0.63,2.14,-1.07,-4.23
2008-07-25,-2.16,0.53,1.28,-1.24,2.88
2008-08-01,1.05,-0.88,-3.48,-5.39,-5.56
2008-08-08,-3.9,0.94,-0.18,-1.28,1.15
2008-08-15,-1.01,0.92,-0.59,1.02,2.37
2008-08-22,-5.77,0.13,0.61,1.47,3.37
2008-08-29,-0.56,-6.45,-3.96,-4.77,-6.3
2008-09-05,-1.1,1.52,-0.15,-4.31,-3.59
2008-09-12,0.0,-5.25,-6.37,-7.98,-4.9
2008-09-19,4.37,2.89,6.04,4.24,2.7
2008-09-26,-0.55,-5.19,-10.58,-4.87,-7.68
2008-10-03,-0.75,-2.6,-4.84,-3.67,-3.97
2008-10-10,-4.45,1.05,1.92,-2.21,-8.68
2008-10-17,0.05,1.7,4.09,-1.01,-7.48
2008-10-24,-6.36,-2.94,-4.06,0.42,5.06
2008-10-31,2.94,-3.22,-5.58,3.22,-3.15
2008-11-07,-0.22,5.78,2.38,-3.86,-8.57
2008-11-14,-5.76,0.8,-2.21,-3.05,-6.32
2008-11-21,3.67,1.39,7.63,0.88,8.63
2008-11-28,-5.5,-2.38,-5.23,-8.53,-9.6
2008-12-05,-3.28,2.51,5.46,0.58,4.55
2008-12-12,-1.4,5.3,-3.31,-4.36,-8.64
2008-12-19,1.01,-0.67,-7.35,-9.26,-12.22
2008-12-26,0.28,4.57,6.25,3.78,13.75
2009-01-02,7.64,0.36,4.69,4.55,-6.62
2009-01-09,-2.5,-4.26,-5.31,-1.64,-3.52
2009-01-16,-1.06,-2.75,-4.02,3.92,0.54
2009-01-23,7.69,0.15,-0.59,-8.75,-7.98
2009-01-30,0.0,-2.67,-2.81,-1.2,-3.25
2009-02-06,-2.12,2.66,0.18,-4.57,-7.52
2009-02-13,-2.03,-5.04,-8.36,-10.7,-5.16
2009-02-20,0.29,2.3,-4.23,0.37,6.78
2009-02-27,-0.66,-5.58,-9.5,-6.14,2.07
2009-03-06,5.38,0.0,2.36,-0.57,-6.04
2009-03-13,-2.13,-2.24,2.24,6.55,7.17
2009-03-20,1.32,-0.29,3.32,2.76,1.46
2009-03-27,-3.97,-3.35,-6.67,-5.53,-7.06
2009-04-03,-0.16,-3.17,-2.26,-6.43,-4.66
2009-04-17,0.55,-5.87,-7.57,-7.2,-7.16
2009-04-24,3.66,-6.09,-2.84,-3.63,-1.18
2009-05-01,3.46,1.15,3.17,1.79,6.11
2009-05-08,3.18,-0.8,-0.62,0.43,-0.92
2009-05-15,-3.4,2.62,4.5,4.76,8.21
