side,N,n_obs,p_next_dir,wilson_lo,wilson_hi,mean_next_ret_bps,median_next_ret_bps,std_next_ret_bps,q10_bps,q90_bps,binom_p_two_sided,binom_p_one_sided,ztest_vs_baseline_p
pos,1,826,0.5448,0.5107,0.5785,6.1,25.5,364.8,-430.9,412.7,0.3091,0.859,0.3512
pos,2,450,0.5778,0.5317,0.6226,8.7,35.7,320.5,-376.9,332.4,0.537,0.2765,0.5461
pos,3,259,0.6178,0.5573,0.6748,56.6,51.3,280.8,-279.8,397.4,0.0794,0.042,0.0852
pos,4,160,0.5563,0.4788,0.631,4.2,30.1,301.3,-360.4,319.3,0.8737,0.5982,0.8712
pos,5,89,0.5843,0.4805,0.6811,13.1,42.5,260.6,-297.8,250.1,0.7489,0.3829,0.6863
pos,6,52,0.5577,0.4234,0.684,16.0,34.0,216.5,-254.1,228.4,1.0,0.5866,0.9417
pos,7,29,0.4828,0.3139,0.6557,-19.1,0.0,235.3,-240.9,285.2,0.4551,0.8543,0.3872
pos,8+,35,0.6,0.4357,0.7445,25.1,45.2,168.1,-229.9,177.1,0.7348,0.3949,0.6586
neg,1,813,0.4403,0.4066,0.4747,18.1,32.7,378.7,-436.6,423.9,0.3947,0.2041,0.4395
neg,2,358,0.4469,0.3963,0.4987,18.7,50.1,413.4,-472.5,471.3,0.4229,0.2202,0.4337
neg,3,160,0.45,0.375,0.5274,19.8,43.8,453.0,-520.0,544.1,0.5239,0.2905,0.5387
neg,4,72,0.3194,0.2233,0.4339,172.3,174.4,476.1,-391.4,838.7,0.0741,0.9751,0.0718
neg,5,23,0.3913,0.2216,0.5921,49.9,47.9,287.5,-276.7,346.1,0.8347,0.7028,0.7417
neg,6,9,0.1111,0.0199,0.435,405.7,381.7,352.7,54.5,893.3,0.0883,0.9932,0.0568
neg,7,1,1.0,0.2065,1.0,-308.6,-308.6,,-308.6,-308.6,0.4254,0.4254,0.2452
neg,8+,2,0.5,0.0945,0.9055,214.3,214.3,372.8,3.5,425.2,1.0,0.6698,0.8311
