N,cum_ret_quintile,cum_prior_lo_pct,cum_prior_hi_pct,n_obs,p_next_pos,mean_next_ret_bps,median_next_ret_bps
2,Q1,0.03,2.06,215,0.5721,15.6,22.6
2,Q2,2.08,3.16,215,0.5442,-0.7,20.0
2,Q3,3.16,4.52,214,0.6215,24.4,56.8
2,Q4,4.52,6.93,215,0.6093,51.0,50.8
2,Q5,6.94,30.33,215,0.5628,10.0,54.1
3,Q1,0.7,3.52,125,0.552,19.8,16.1
3,Q2,3.53,4.88,125,0.584,4.4,32.4
3,Q3,4.91,6.6,124,0.6129,15.0,52.7
3,Q4,6.61,9.41,125,0.632,66.0,73.0
3,Q5,9.45,36.64,125,0.544,36.1,49.1
4,Q1,1.26,5.06,73,0.4795,-0.1,-4.6
4,Q2,5.06,6.53,73,0.5342,-31.4,23.6
4,Q3,6.55,8.47,73,0.589,20.9,38.2
4,Q4,8.48,11.77,73,0.6849,76.2,108.8
4,Q5,11.8,32.53,73,0.5205,-24.6,31.7
