Date,shel,bp,ratio,r_shel,r_bp,beta,corr60,r_spread,spread_equity,ratio_norm
2025-06-10,2594.443115,373.602783,6.944389,0.036128,0.032027,0.626776,0.852251,0.016054,1.016054,1.0
2025-06-11,2580.44873,373.402924,6.910628,-0.005394,-0.000535,0.64387,0.85353,-0.00505,1.010924,0.995138
2025-06-12,2613.435303,380.499176,6.868439,0.012783,0.019004,0.642405,0.855148,0.000575,1.011505,0.989063
2025-06-13,2629.928711,386.146149,6.810708,0.006311,0.014841,0.647907,0.856435,-0.003305,1.008162,0.98075
2025-06-16,2624.430664,382.498108,6.861291,-0.002091,-0.009447,0.642848,0.855823,0.003983,1.012177,0.988034
2025-06-17,2661.915771,388.844727,6.845704,0.014283,0.016593,0.643245,0.857628,0.00361,1.015831,0.985789
2025-06-18,2665.914062,386.296112,6.901219,0.001502,-0.006554,0.641295,0.85833,0.005705,1.021627,0.993783
2025-06-19,2696.901367,392.742706,6.86684,0.011624,0.016688,0.644036,0.863275,0.000876,1.022522,0.988833
2025-06-20,2681.907227,384.49704,6.975105,-0.00556,-0.020995,0.645828,0.866132,0.007999,1.030701,1.004423
2025-06-23,2682.907227,386.196136,6.947007,0.000373,0.004419,0.648294,0.868621,-0.002492,1.028133,1.000377
2025-06-24,2583.447754,367.75589,7.024898,-0.037072,-0.047748,0.645905,0.880129,-0.006231,1.021727,1.011593
2025-06-25,2562.456055,364.207764,7.035699,-0.008125,-0.009648,0.648743,0.880381,-0.001866,1.01982,1.013149
2025-06-26,2575.450928,368.955231,6.980389,0.005071,0.013035,0.649265,0.880745,-0.003392,1.016361,1.005184
2025-06-27,2585.946533,370.20462,6.985182,0.004075,0.003386,0.650909,0.882449,0.001871,1.018262,1.005874
2025-06-30,2552.459961,365.50705,6.98334,-0.012949,-0.012689,0.650159,0.882574,-0.0047,1.013477,1.005609
2025-07-01,2572.951904,368.055725,6.990659,0.008028,0.006973,0.651356,0.885432,0.003486,1.017011,1.006663
2025-07-02,2614.434814,379.199829,6.89461,0.016123,0.030278,0.653025,0.878195,-0.00365,1.013299,0.992832
2025-07-03,2619.432861,378.55014,6.919646,0.001912,-0.001713,0.669836,0.84882,0.003059,1.016399,0.996437
2025-07-04,2626.929688,379.049927,6.9303,0.002862,0.00132,0.606271,0.820241,0.002062,1.018494,0.997971
2025-07-07,2551.960449,371.553894,6.868345,-0.028539,-0.019776,0.577141,0.817942,-0.017125,1.001052,0.98905
2025-07-08,2602.939697,383.497589,6.787369,0.019977,0.032145,0.595148,0.786047,0.000845,1.001898,0.977389
2025-07-09,2625.93042,384.297119,6.833073,0.008833,0.002085,0.56862,0.779576,0.007647,1.00956,0.98397
2025-07-10,2656.917725,388.544891,6.838123,0.011801,0.011053,0.5693,0.782533,0.005508,1.01512,0.984698
2025-07-11,2670.912109,401.83786,6.646741,0.005267,0.034212,0.587048,0.75799,-0.014817,1.000079,0.957138
2025-07-14,2635.42627,396.990479,6.638513,-0.013286,-0.012063,0.553497,0.761156,-0.006609,0.99347,0.955953
2025-07-15,2620.432373,397.590149,6.590788,-0.005689,0.001511,0.561777,0.754573,-0.006538,0.986974,0.949081
2025-07-16,2606.937988,395.791107,6.586651,-0.00515,-0.004525,0.545197,0.758403,-0.002683,0.984327,0.948485
2025-07-17,2607.937744,397.040405,6.568444,0.000383,0.003156,0.551291,0.758131,-0.001357,0.982991,0.945863
2025-07-18,2618.932861,399.689056,6.552426,0.004216,0.006671,0.5507,0.758489,0.000542,0.983524,0.943557
2025-07-21,2611.936035,400.738495,6.517807,-0.002672,0.002626,0.551253,0.7604,-0.004119,0.979473,0.938572
2025-07-22,2617.933838,402.487549,6.504385,0.002296,0.004365,0.55506,0.762281,-0.000126,0.979349,0.936639
2025-07-23,2652.419434,404.336517,6.55993,0.013173,0.004594,0.552609,0.758114,0.010634,0.989764,0.944638
2025-07-24,2661.415771,397.540161,6.694709,0.003392,-0.016809,0.554991,0.748178,0.01272,1.002354,0.964046
2025-07-25,2666.413818,397.590149,6.706438,0.001878,0.000126,0.551944,0.748587,0.001809,1.004167,0.965735
2025-07-28,2685.905762,406.385498,6.609256,0.00731,0.022122,0.553891,0.747406,-0.004943,0.999204,0.95174
2025-07-29,2695.901611,405.436005,6.649389,0.003722,-0.002336,0.547089,0.76505,0.005,1.0042,0.95752
2025-07-30,2677.908936,405.086151,6.610715,-0.006674,-0.000863,0.547774,0.815964,-0.006201,0.997972,0.95195
2025-07-31,2709.895996,404.536499,6.698768,0.011945,-0.001357,0.570083,0.807833,0.012718,1.010665,0.96463
2025-08-01,2705.897705,398.489655,6.790384,-0.001475,-0.014948,0.571247,0.806951,0.007063,1.017803,0.977823
2025-08-04,2680.907959,405.835785,6.605893,-0.009235,0.018435,0.567773,0.804322,-0.019702,0.99775,0.951256
2025-08-05,2690.404053,417.229736,6.448256,0.003542,0.028075,0.603775,0.785012,-0.013409,0.984371,0.928556
2025-08-06,2725.389893,430.122955,6.336304,0.013004,0.030902,0.577993,0.789812,-0.004857,0.97959,0.912435
2025-08-07,2649.92041,425.52536,6.227409,-0.027691,-0.010689,0.565866,0.778007,-0.021643,0.958389,0.896754
2025-08-08,2651.919922,422.976746,6.269659,0.000755,-0.005989,0.583834,0.767786,0.004251,0.962464,0.902838
2025-08-11,2643.423096,423.276581,6.245144,-0.003204,0.000709,0.589492,0.766342,-0.003622,0.958978,0.899308
2025-08-12,2674.9104,423.826263,6.311337,0.011912,0.001299,0.58988,0.759436,0.011146,0.969666,0.90884
2025-08-13,2668.413086,418.129272,6.38179,-0.002429,-0.013442,0.59672,0.758964,0.005592,0.975088,0.918985
2025-08-14,2627.19165,413.892822,6.347517,-0.015448,-0.010132,0.590734,0.761158,-0.009463,0.965861,0.91405
2025-08-15,2638.188477,421.240051,6.26291,0.004186,0.017752,0.601099,0.752268,-0.006485,0.959598,0.901866
2025-08-18,2632.190186,419.290802,6.27772,-0.002274,-0.004627,0.586747,0.753387,0.000441,0.960022,0.903999
2025-08-19,2652.184082,420.340393,6.30961,0.007596,0.002503,0.584027,0.750165,0.006134,0.965911,0.908591
2025-08-20,2665.179932,418.740997,6.364746,0.0049,-0.003805,0.581036,0.746614,0.007111,0.972779,0.916531
2025-08-21,2676.676758,419.340759,6.383059,0.004314,0.001432,0.578917,0.745627,0.003485,0.976169,0.919168
2025-08-22,2691.172119,423.289276,6.357761,0.005415,0.009416,0.57832,0.74607,-3e-05,0.976139,0.915525
2025-08-26,2706.167236,424.188934,6.379627,0.005572,0.002125,0.578233,0.744171,0.004343,0.980379,0.918674
2025-08-27,2714.664795,428.887115,6.329555,0.00314,0.011076,0.576882,0.749507,-0.003249,0.977193,0.911463
2025-08-28,2714.664795,428.937134,6.328817,0.0,0.000117,0.571431,0.742785,-6.7e-05,0.977128,0.911357
2025-08-29,2723.162354,431.936005,6.30455,0.00313,0.006991,0.569685,0.742742,-0.000853,0.976295,0.907863
2025-09-01,2716.164551,430.886383,6.303668,-0.00257,-0.00243,0.569815,0.742708,-0.001185,0.975138,0.907735
2025-09-02,2729.6604,434.035217,6.28903,0.004969,0.007308,0.567026,0.743158,0.000825,0.975942,0.905627
2025-09-03,2693.171631,427.187805,6.304421,-0.013368,-0.015776,0.567244,0.731322,-0.004419,0.97163,0.907844
