Date,side,r_spread_pct,r_shel_pct,r_bp_pct,beta,shel,bp,ratio
2025-06-10,SHEL_outperf,1.61,3.61,3.2,0.63,2594.4431,373.6028,6.9444
2025-07-07,BP_outperf,-1.71,-2.85,-1.98,0.58,2551.9604,371.5539,6.8683
2025-07-11,BP_outperf,-1.48,0.53,3.42,0.59,2670.9121,401.8379,6.6467
2025-07-24,SHEL_outperf,1.27,0.34,-1.68,0.55,2661.4158,397.5402,6.6947
2025-07-31,SHEL_outperf,1.27,1.19,-0.14,0.57,2709.896,404.5365,6.6988
2025-08-04,BP_outperf,-1.97,-0.92,1.84,0.57,2680.908,405.8358,6.6059
2025-08-07,BP_outperf,-2.16,-2.77,-1.07,0.57,2649.9204,425.5254,6.2274
2025-10-07,SHEL_outperf,1.68,1.53,-0.28,0.51,2778.1453,431.4362,6.4393
2025-10-10,BP_outperf,-1.54,-2.9,-2.8,0.49,2695.1711,420.3404,6.4119
2026-01-08,BP_outperf,-3.1,-3.52,-0.61,0.69,2561.4487,415.5476,6.164
2026-01-09,SHEL_outperf,1.35,3.04,2.39,0.71,2639.4316,425.4952,6.2032
2026-01-15,SHEL_outperf,1.24,0.27,-1.26,0.76,2745.9089,437.7921,6.2722
2026-01-29,SHEL_outperf,1.3,2.38,1.45,0.74,2796.8979,462.5361,6.0469
2026-02-05,BP_outperf,-1.93,-3.4,-1.81,0.81,2768.9041,468.9845,5.904
2026-02-09,SHEL_outperf,1.82,1.75,-0.08,0.82,2822.3923,477.5324,5.9104
2026-02-10,SHEL_outperf,5.44,0.32,-6.13,0.83,2831.3906,448.2396,6.3167
2026-02-25,SHEL_outperf,1.43,1.33,-0.2,0.52,3010.6384,470.1966,6.4029
2026-02-27,SHEL_outperf,1.27,1.64,0.71,0.52,3073.1309,477.5957,6.4346
2026-03-19,BP_outperf,-2.65,-0.01,4.93,0.54,3460.5842,583.1337,5.9345
2026-03-24,SHEL_outperf,1.48,3.15,3.51,0.47,3459.5845,557.4366,6.2062
2026-03-25,BP_outperf,-1.47,-0.78,1.42,0.49,3432.5876,565.3358,6.0718
2026-04-01,BP_outperf,-1.49,-3.89,-5.0,0.48,3443.0864,575.9345,5.9783
2026-04-02,SHEL_outperf,1.62,2.9,2.64,0.49,3543.0745,591.1328,5.9937
2026-04-08,BP_outperf,-1.93,-4.68,-5.82,0.47,3400.5916,562.636,6.044
2026-04-14,BP_outperf,-1.5,-2.75,-2.43,0.51,3375.0945,565.0358,5.9732
2026-04-17,BP_outperf,-1.76,-5.57,-7.36,0.52,3195.6162,540.9385,5.9075
2026-04-27,BP_outperf,-1.72,-1.66,0.1,0.55,3252.1094,572.335,5.6822
2026-05-18,SHEL_outperf,1.25,2.97,2.7,0.64,3289.105,567.1,5.7999
2026-05-26,SHEL_outperf,2.31,-0.33,-4.03,0.66,3194.5,529.0,6.0388
2026-05-29,BP_outperf,-1.6,-0.76,1.32,0.63,3118.0,521.8,5.9755
