start,end,days,move_pct,shel_leg_pct,bp_leg_pct,winner,shel_start,shel_end,bp_start,bp_end
2025-06-10,2025-09-24,106,-12.18,3.0,17.3,BP,2594,2672,374,438
2025-09-24,2025-10-20,26,8.32,1.4,-6.4,SHEL,2672,2710,438,410
2025-10-20,2025-12-04,45,-8.85,3.3,13.3,BP,2710,2799,410,465
2025-12-04,2025-12-19,15,5.68,-3.4,-8.6,SHEL,2799,2702,465,425
2025-12-19,2026-02-06,49,-8.78,2.6,12.5,BP,2702,2774,425,478
2026-02-06,2026-02-27,21,10.87,10.8,-0.1,SHEL,2774,3073,478,478
2026-02-27,2026-03-19,20,-7.77,12.6,22.1,BP,3073,3461,478,583
2026-03-19,2026-03-23,4,4.95,-3.1,-7.6,SHEL,3461,3354,583,539
2026-03-23,2026-04-28,36,-8.79,-2.0,7.5,BP,3354,3288,539,579
2026-04-28,2026-06-10,43,5.9,-2.8,-8.2,SHEL,3288,3195,579,531
