Date,side,r_letf_pct,r_under_pct,r_silver_pct,r_gold_pct,beta,w_3sil,w_3gos
2008-10-29,WIN,12.18,9.23,11.55,1.83,1.27,0.44,0.56
2001-09-19,WIN,10.88,5.56,6.19,1.18,0.53,0.65,0.35
2025-12-30,WIN,10.37,9.07,10.76,1.04,1.62,0.38,0.62
2003-07-23,WIN,10.34,4.89,5.85,2.28,0.42,0.7,0.3
2008-10-21,WIN,9.76,7.79,3.98,-2.73,1.4,0.42,0.58
2025-04-23,WIN,8.56,6.07,1.94,-3.66,1.13,0.47,0.53
2021-02-01,WIN,8.46,7.95,9.29,0.73,1.82,0.35,0.65
2026-01-26,WIN,8.38,9.23,14.03,2.08,2.31,0.3,0.7
2020-03-25,WIN,8.22,6.71,4.27,-1.68,1.45,0.41,0.59
2025-07-11,WIN,8.08,3.9,4.42,1.16,0.45,0.69,0.31
2008-11-05,WIN,7.5,5.69,3.21,-1.94,1.27,0.44,0.56
2026-03-23,WIN,7.22,7.97,-0.45,-3.64,2.31,0.3,0.7
2025-12-26,WIN,7.09,6.01,7.68,1.08,1.54,0.39,0.61
2008-11-24,WIN,6.91,5.05,9.23,3.5,1.19,0.46,0.54
2020-07-22,WIN,6.82,5.64,7.38,1.18,1.48,0.4,0.6
2025-06-05,WIN,6.75,3.88,3.39,-0.68,0.73,0.58,0.42
2020-07-21,WIN,6.14,4.84,6.82,1.46,1.36,0.42,0.58
2025-11-28,WIN,6.05,4.87,6.67,1.27,1.41,0.41,0.59
2016-07-01,WIN,6.05,3.89,5.18,1.39,0.93,0.52,0.48
2025-06-02,WIN,6.02,3.38,5.08,2.48,0.68,0.59,0.41
2003-08-13,WIN,5.96,2.96,3.46,1.0,0.49,0.67,0.33
2022-07-28,WIN,5.79,4.47,6.87,1.81,1.32,0.43,0.57
2020-05-15,WIN,5.76,4.47,5.64,0.88,1.33,0.43,0.57
2008-10-13,WIN,5.65,4.57,1.82,-1.93,1.42,0.41,0.59
2006-05-19,WIN,5.56,5.7,-1.29,-3.37,2.07,0.33,0.67
2006-04-20,LOSE,-14.73,-11.15,-13.72,-2.02,1.27,0.44,0.56
2011-09-23,LOSE,-11.75,-9.47,-17.75,-5.85,1.42,0.41,0.59
2020-03-16,LOSE,-10.7,-8.78,-11.65,-1.97,1.46,0.41,0.59
2004-04-21,LOSE,-10.14,-8.53,-11.17,-1.73,1.52,0.4,0.6
2008-10-15,LOSE,-9.8,-7.82,-7.95,-0.1,1.39,0.42,0.58
2025-12-31,LOSE,-8.63,-7.66,-9.36,-1.02,1.66,0.38,0.62
2008-08-15,LOSE,-8.55,-6.46,-9.94,-2.75,1.27,0.44,0.56
2008-10-10,LOSE,-8.21,-6.49,-10.79,-3.14,1.37,0.42,0.58
2008-10-02,LOSE,-7.98,-6.38,-13.01,-4.73,1.4,0.42,0.58
2008-10-06,LOSE,-7.72,-6.37,-0.35,4.08,1.48,0.4,0.6
2025-04-03,LOSE,-7.59,-5.89,-7.7,-1.37,1.33,0.43,0.57
2008-03-20,LOSE,-7.59,-5.51,-8.64,-2.66,1.18,0.46,0.54
2020-03-17,LOSE,-7.59,-6.65,-2.37,2.62,1.63,0.38,0.62
2006-04-24,LOSE,-7.53,-6.38,-9.2,-1.83,1.54,0.39,0.61
2021-02-02,LOSE,-7.45,-7.18,-10.25,-1.63,1.89,0.35,0.65
2011-08-09,LOSE,-7.26,-7.36,-3.8,1.74,2.04,0.33,0.67
2001-09-20,LOSE,-7.24,-3.89,-4.41,-0.86,0.61,0.62,0.38
2026-01-27,LOSE,-7.14,-8.31,-8.3,0.0,2.49,0.29,0.71
2008-11-20,LOSE,-6.97,-5.19,-3.06,1.73,1.23,0.45,0.55
2010-11-10,LOSE,-6.76,-5.85,-7.06,-0.76,1.6,0.39,0.61
2008-11-13,LOSE,-6.72,-4.99,-7.17,-1.78,1.23,0.45,0.55
2026-03-02,LOSE,-6.69,-7.79,-4.75,1.22,2.49,0.29,0.71
2008-10-24,LOSE,-6.57,-5.08,-2.16,2.22,1.32,0.43,0.57
2026-02-03,LOSE,-6.33,-7.57,8.16,6.08,2.59,0.28,0.72
2011-09-22,LOSE,-6.33,-4.84,-9.6,-3.67,1.3,0.44,0.56
