date,usd,gbp
1968-04-01,37.7,15.68
1968-04-02,37.3,37.3
1968-04-03,37.6,15.63
1968-04-04,36.95,15.36
1968-04-05,37,15.39
1968-04-08,37.05,15.41
1968-04-09,37.5,15.59
1968-04-10,37.7,15.69
1968-04-11,38,15.82
1968-04-16,38,15.82
1968-04-17,37.8,15.73
1968-04-18,37.55,15.63
1968-04-19,37.65,15.68
1968-04-22,38,15.84
1968-04-23,38.4,16
1968-04-24,38.25,15.94
1968-04-25,38.3,15.97
1968-04-26,38.65,16.13
1968-04-29,38.75,16.17
1968-04-30,39.1,16.31
1968-05-01,39.2,16.35
1968-05-02,39.45,16.46
1968-05-03,39.1,16.32
1968-05-06,39.75,16.6
1968-05-07,39.3,16.41
1968-05-08,39.75,16.59
1968-05-09,39.7,16.59
1968-05-10,39.6,16.56
1968-05-13,39.5,16.54
1968-05-14,39.8,16.66
1968-05-15,40.25,16.83
1968-05-16,41.25,17.28
1968-05-17,41.5,17.4
1968-05-20,42.3,17.73
1968-05-21,42.4,17.78
1968-05-22,41.55,17.41
1968-05-23,41.4,17.36
1968-05-24,41.75,17.51
1968-05-27,41.5,17.4
1968-05-28,41.5,17.39
1968-05-29,41.6,17.43
1968-05-30,41.95,17.6
1968-05-31,41.95,17.6
1968-06-04,41.15,17.25
1968-06-05,41.2,17.27
1968-06-06,41.2,17.28
1968-06-07,41.25,17.3
1968-06-10,41.3,17.31
1968-06-11,41.55,17.41
1968-06-12,41.9,17.55
1968-06-13,41.3,17.31
1968-06-14,41,17.19
1968-06-17,40.7,17.05
1968-06-18,41.1,17.23
1968-06-19,41.4,17.36
1968-06-20,41.1,17.24
1968-06-21,41.05,17.22
1968-06-24,40.9,17.16
1968-06-25,40.95,17.18
1968-06-26,40.85,17.14
1968-06-27,40.9,17.17
1968-06-28,40.9,17.17
1968-07-01,40.8,17.12
1968-07-02,40.9,17.16
1968-07-03,41.05,17.22
1968-07-04,41.15,17.27
1968-07-05,41,17.21
1968-07-08,40.85,17.12
1968-07-09,39.8,16.67
1968-07-10,40.1,16.79
1968-07-11,39.1,16.37
1968-07-12,39.3,16.44
1968-07-15,39.2,16.39
1968-07-16,38.5,16.1
1968-07-17,37.75,15.78
1968-07-18,38,15.89
1968-07-19,38.7,16.19
1968-07-22,38.6,16.14
1968-07-23,39,16.31
1968-07-24,39.2,16.39
1968-07-25,38.9,16.26
1968-07-26,38.9,16.25
1968-07-29,39.1,16.33
1968-07-30,39,16.29
1968-07-31,38.85,16.22
1968-08-01,38.9,16.25
1968-08-02,38.85,16.23
1968-08-05,38.95,16.27
1968-08-06,38.7,16.16
1968-08-07,38.7,16.16
1968-08-08,38.45,16.06
1968-08-09,38.55,16.1
1968-08-12,38.6,16.12
1968-08-13,38.9,16.26
1968-08-14,38.95,16.28
1968-08-15,39.15,16.37
1968-08-16,39.15,16.37
1968-08-19,39.15,16.36
1968-08-20,39.55,16.53
1968-08-21,40,16.74
1968-08-22,39.75,16.64
1968-08-23,39.5,16.54
1968-08-26,39.5,16.54
1968-08-27,39.65,16.6
1968-08-28,39.6,16.59
1968-08-29,39.85,16.71
1968-08-30,39.8,16.7
1968-09-03,39.95,16.76
1968-09-04,39.9,16.73
1968-09-05,40.1,16.83
1968-09-06,39.9,16.74
1968-09-09,40.05,16.78
1968-09-10,40.03,16.77
1968-09-11,40.1,16.8
1968-09-12,40.1,16.8
1968-09-13,40.15,16.82
1968-09-16,40.3,16.89
1968-09-17,40.3,16.88
1968-09-18,40.5,16.95
1968-09-19,40.45,16.93
1968-09-20,40.4,16.91
1968-09-23,40.4,16.9
1968-09-24,40.45,16.93
1968-09-25,40.45,16.92
1968-09-26,40.45,16.93
1968-09-27,40.13,16.79
1968-09-30,39.6,16.57
1968-10-01,39.45,16.52
1968-10-02,38.9,16.28
1968-10-03,39.18,16.39
1968-10-04,39.05,16.34
1968-10-07,39.78,16.64
1968-10-08,39.6,16.57
1968-10-09,38.9,16.28
1968-10-10,39.05,16.34
1968-10-11,39.28,16.44
1968-10-14,39.3,16.45
1968-10-15,39.1,16.37
1968-10-16,38.95,16.3
1968-10-17,39.28,16.44
1968-10-18,39.1,16.37
1968-10-21,39,16.32
1968-10-22,39.05,16.34
1968-10-23,39.2,16.39
1968-10-24,39.2,16.4
1968-10-25,39.25,16.42
1968-10-28,39.48,16.51
1968-10-29,39.5,16.53
1968-10-30,39.2,16.39
1968-10-31,39,16.31
1968-11-01,39.18,16.38
1968-11-04,39.2,16.4
1968-11-05,39.43,16.5
1968-11-06,39.53,16.53
1968-11-07,39.3,16.45
1968-11-08,39.4,16.49
1968-11-11,39.55,16.55
1968-11-12,39.68,16.6
1968-11-13,39.88,16.69
1968-11-14,39.9,16.72
1968-11-15,40,16.78
1968-11-18,39.95,16.77
1968-11-19,40.23,16.88
1968-11-25,40.1,16.82
1968-11-26,39.7,16.63
1968-11-27,39.9,16.72
1968-11-28,39.8,16.68
1968-11-29,39.85,16.71
1968-12-02,40.15,16.83
1968-12-03,40.28,16.89
1968-12-04,40.5,16.99
1968-12-05,40.35,16.93
1968-12-06,40.5,17
1968-12-09,40.6,17.04
1968-12-10,40.63,17.04
1968-12-11,40.95,17.15
1968-12-12,40.98,17.17
1968-12-13,41,17.2
1968-12-16,40.97,17.18
1968-12-17,41.23,17.29
1968-12-18,41.9,17.57
1968-12-19,41.73,17.5
1968-12-20,41.7,17.5
1968-12-23,41.6,17.45
1968-12-27,41.75,17.51
1968-12-30,41.9,17.57
1968-12-31,41.9,17.57
1969-01-02,41.8,17.53
1969-01-03,42.05,17.64
1969-01-06,42.05,17.64
1969-01-07,42.1,17.66
1969-01-08,42.45,17.8
1969-01-09,42.5,17.82
1969-01-10,42.3,17.73
1969-01-13,42.1,17.64
1969-01-14,42.5,17.82
1969-01-15,42.7,17.9
1969-01-16,42.35,17.75
1969-01-17,42.2,17.68
1969-01-20,42.2,17.68
1969-01-21,42.48,17.78
1969-01-22,42.53,17.79
1969-01-23,42.05,17.59
1969-01-24,42.1,17.63
1969-01-27,42.2,17.66
1969-01-28,42.43,17.75
1969-01-29,42.5,17.78
1969-01-30,42.55,17.81
1969-01-31,42.54,17.8
1969-02-03,42.43,17.74
1969-02-04,42.5,17.77
1969-02-05,42.73,17.87
1969-02-06,42.63,17.84
1969-02-07,42.53,17.79
1969-02-10,42.45,17.76
1969-02-11,42.55,17.8
1969-02-12,42.5,17.77
1969-02-13,42.58,17.8
1969-02-14,42.5,17.76
1969-02-17,42.65,17.82
1969-02-18,42.58,17.8
1969-02-19,42.65,17.83
1969-02-20,42.63,17.83
1969-02-21,42.63,17.83
1969-02-24,42.7,17.86
1969-02-25,42.65,17.84
1969-02-26,42.7,17.85
1969-02-27,42.8,17.89
1969-02-28,42.7,17.84
1969-03-03,42.7,17.84
1969-03-04,42.85,17.9
1969-03-05,43,17.94
1969-03-06,43.25,18.07
1969-03-07,43.5,18.21
1969-03-10,43.83,18.35
1969-03-11,42.95,17.97
1969-03-12,42.85,17.92
1969-03-13,43.1,18.05
1969-03-14,43,18
1969-03-17,43.1,18.04
1969-03-18,43,17.99
1969-03-19,43.1,18.02
1969-03-20,43.2,18.07
1969-03-21,43.2,18.07
1969-03-24,43.35,18.12
1969-03-25,43.35,18.12
1969-03-26,43.43,18.14
1969-03-27,43.46,18.16
1969-03-28,43.23,18.06
1969-03-31,42.9,17.92
1969-04-01,43.15,18.02
1969-04-02,43.25,18.06
1969-04-03,43.38,18.12
1969-04-08,43.38,18.12
1969-04-09,43.4,18.12
1969-04-10,43.39,18.12
1969-04-11,43.4,18.12
1969-04-14,43.15,18.01
1969-04-15,42.98,17.93
1969-04-16,43.25,18.05
1969-04-17,43.2,18.03
1969-04-18,43.23,18.04
1969-04-21,43.15,18.01
1969-04-22,43.3,18.11
1969-04-23,43.35,18.13
1969-04-24,43.35,18.14
1969-04-25,43.3,18.13
1969-04-28,43.6,18.27
1969-04-29,43.5,18.22
1969-04-30,43.6,18.27
1969-05-01,43.6,18.29
1969-05-02,43.6,18.3
1969-05-05,43.5,18.23
1969-05-06,43.38,18.2
1969-05-07,43.6,18.29
1969-05-08,43.63,18.31
1969-05-09,43.53,18.27
1969-05-12,43.5,18.22
1969-05-13,43.5,18.23
1969-05-14,43.5,18.22
1969-05-15,43.5,18.21
1969-05-16,43.5,18.22
1969-05-19,43.5,18.22
1969-05-20,43.43,18.19
1969-05-21,43.45,18.19
1969-05-22,43.45,18.2
1969-05-23,43.5,18.22
1969-05-27,43.48,18.19
1969-05-28,43.33,18.14
1969-05-29,43.23,18.1
1969-05-30,43.08,18.03
1969-06-02,42.68,17.85
1969-06-03,42.29,17.69
1969-06-04,42.08,17.6
1969-06-05,41.6,17.42
1969-06-06,40.63,17.01
1969-06-09,41.25,17.27
1969-06-10,42.3,17.71
1969-06-11,41.4,17.33
1969-06-12,41.5,17.37
1969-06-13,41.6,17.4
1969-06-16,40.8,17.07
1969-06-17,41.45,17.35
1969-06-18,41.4,17.32
1969-06-19,41.45,17.35
1969-06-20,41.3,17.28
1969-06-23,41.3,17.28
1969-06-24,40.93,17.12
1969-06-25,40.9,17.11
1969-06-26,41,17.15
1969-06-27,41.1,17.19
1969-06-30,41.2,17.23
1969-07-01,41.15,17.2
1969-07-02,41.23,17.23
1969-07-03,41.55,17.39
1969-07-04,41.6,17.4
1969-07-07,41.85,17.5
1969-07-08,42.1,17.61
1969-07-09,41.83,17.49
1969-07-10,41.9,17.53
1969-07-11,41.89,17.52
1969-07-14,42,17.57
1969-07-15,42,17.57
1969-07-16,41.8,17.48
1969-07-17,41.98,17.56
1969-07-18,41.95,17.55
1969-07-21,42,17.57
1969-07-22,41.95,17.56
1969-07-23,41.8,17.49
1969-07-24,41.9,17.53
1969-07-25,41.85,17.52
1969-07-28,41.78,17.48
1969-07-29,41.5,17.37
1969-07-30,41.48,17.34
1969-07-31,41.39,17.31
1969-08-01,41.43,17.33
1969-08-04,41.3,17.28
1969-08-05,41.1,17.19
1969-08-06,41,17.14
1969-08-07,41.05,17.17
1969-08-08,41.15,17.21
1969-08-11,41.2,17.27
1969-08-12,41.1,17.25
1969-08-13,41.2,17.29
1969-08-14,41.19,17.3
1969-08-15,41.11,17.27
1969-08-18,41.13,17.24
1969-08-19,41.1,17.24
1969-08-20,41.1,17.21
1969-08-21,41.05,17.22
1969-08-22,41.05,17.23
1969-08-25,40.95,17.17
1969-08-26,40.88,17.15
1969-08-27,40.95,17.19
1969-08-28,40.95,17.2
1969-08-29,40.86,17.16
1969-09-02,40.73,17.09
1969-09-03,40.83,17.13
1969-09-04,40.93,17.18
1969-09-05,40.9,17.16
1969-09-08,40.91,17.17
1969-09-09,41.05,17.22
1969-09-10,40.95,17.17
1969-09-11,40.93,17.16
1969-09-12,41.05,17.21
1969-09-15,41,17.17
1969-09-16,41,17.18
1969-09-17,40.98,17.17
1969-09-18,40.85,17.12
1969-09-19,40.9,17.15
1969-09-22,40.88,17.14
1969-09-23,40.84,17.14
1969-09-24,40.84,17.14
1969-09-25,40.75,17.11
1969-09-26,40.75,17.1
1969-09-29,40.63,17.05
1969-09-30,40.68,17.07
1969-10-01,40.75,17.08
1969-10-02,40.88,17.13
1969-10-03,40.95,17.16
1969-10-06,40.75,17.07
1969-10-07,40.78,17.09
1969-10-08,40.73,17.06
1969-10-09,40.79,17.1
1969-10-10,40.73,17.07
1969-10-13,40.63,17
1969-10-14,40.7,17.03
1969-10-15,40.73,17.03
1969-10-16,40.63,16.99
1969-10-17,40.53,16.94
1969-10-20,40.35,16.87
1969-10-21,40.3,16.85
1969-10-22,40.05,16.75
1969-10-23,40,16.73
1969-10-24,40.05,16.75
1969-10-27,40.15,16.77
1969-10-28,40.05,16.74
1969-10-29,39.98,16.69
1969-10-30,39.93,16.67
1969-10-31,39.75,16.59
1969-11-03,39.55,16.51
1969-11-04,39.55,16.5
1969-11-05,39.4,16.43
1969-11-06,39,16.26
1969-11-07,38.53,16.07
1969-11-10,38.13,15.91
