policy,benchmark,n_replicates,mean_block,mean_diff_bps,median_diff_bps,p05_bps,p95_bps,share_policy_wins,verdict
Never (drift),Monthly,2000,63,31.681678980651004,15.013799011839302,-44.033667405839026,165.87215318683224,0.609,not distinguishable from noise
Quarterly,Monthly,2000,63,4.2430463434427255,4.100856265084607,-4.581401610815439,13.652827234933547,0.7875,not distinguishable from noise
Semi-annual,Monthly,2000,63,6.5436580821426285,5.887385877725304,-5.828636047363944,21.29478751611469,0.778,not distinguishable from noise
Annual,Monthly,2000,63,8.511710795701399,7.520951587388636,-8.847567457410888,28.126215337481273,0.7755,not distinguishable from noise
Daily (constant mix),Monthly,2000,63,-250.33876038488333,-192.51636453098018,-370.81965536815557,-122.94840742694946,0.0,distinguishable from noise
Band 5pp (daily check),Monthly,2000,63,13.93453167773598,13.989227161589346,0.4245493314811722,26.90910271066726,0.954,directionally consistent but within noise
Band 25% rel (daily check),Monthly,2000,63,16.332577840425845,16.335888377004835,-2.6559424515213426,35.655984955117674,0.924,directionally consistent but within noise
5/25 rule (daily check),Monthly,2000,63,13.93453167773598,13.989227161589346,0.4245493314811722,26.90910271066726,0.954,directionally consistent but within noise
Band 5pp (monthly check),Monthly,2000,63,12.01432882879875,11.973695977754995,-1.929291676584399,25.661833936563184,0.914,directionally consistent but within noise
5/25 rule (monthly check),Monthly,2000,63,12.01432882879875,11.973695977754995,-1.929291676584399,25.661833936563184,0.914,directionally consistent but within noise
5/25 rule (annual check),Monthly,2000,63,11.491068894731017,10.671706359336453,-9.5135097535598,35.34684938119226,0.7965,not distinguishable from noise
Drawdown trigger -15%,Monthly,2000,63,20.198860783253583,14.94955148676258,-13.798998166855592,71.29697173790771,0.777,not distinguishable from noise
Drawdown trigger -20%,Monthly,2000,63,24.071179517103193,15.946331320454421,-19.17951347936486,92.80386135087014,0.7315,not distinguishable from noise
