currency,event,peak,trough,depth
GBP,1998,1998-07-17,1998-10-08,0.2516
GBP,2003,2000-09-08,2003-03-12,0.5014
GBP,2009,2007-10-12,2009-03-06,0.4011
GBP,2011,2011-07-07,2011-08-19,0.2019
GBP,2015,2015-04-10,2015-08-24,0.1858
GBP,2018,2018-08-28,2018-12-24,0.1549
GBP,2020,2020-02-19,2020-03-16,0.265
GBP,2022,2021-12-08,2022-06-16,0.1534
GBP,2025,2025-01-23,2025-04-08,0.1794
USD,1998,1998-07-20,1998-10-08,0.2171
USD,2002,2000-03-24,2002-10-09,0.4819
USD,2009,2007-10-31,2009-03-09,0.5933
USD,2016,2015-05-21,2016-02-11,0.1943
USD,2018,2018-01-26,2018-12-24,0.1949
USD,2020,2020-02-12,2020-03-23,0.3353
USD,2022,2022-01-03,2022-10-12,0.2642
USD,2025,2025-02-18,2025-04-08,0.1655
