event,peak,trough,equity_depth,policy,drawdown_window_return,post_1y_cagr,post_3y_cagr,post_5y_cagr
1998,1998-07-17,1998-10-08,0.2516,Never (drift),-0.1947457800705874,0.3595303168689432,0.0948919180105805,0.05694412273561955
1998,1998-07-17,1998-10-08,0.2516,Monthly,-0.1592175489197707,0.30749454938045107,0.09530718943996885,0.062412064634508324
1998,1998-07-17,1998-10-08,0.2516,Quarterly,-0.1562538863540267,0.31316864606169914,0.09949994453422928,0.06602162651625765
1998,1998-07-17,1998-10-08,0.2516,Semi-annual,-0.15536862621490632,0.2968411447228263,0.09218040523855597,0.059702035355843064
1998,1998-07-17,1998-10-08,0.2516,Annual,-0.1616772583356234,0.2999369815937232,0.09807002384868024,0.06447165832463964
1998,1998-07-17,1998-10-08,0.2516,Daily (constant mix),-0.16508262673471963,0.2676306145448031,0.0679756965406999,0.03617738484531552
1998,1998-07-17,1998-10-08,0.2516,Band 5pp (daily check),-0.15646729828614514,0.30558274351319326,0.09783674179682444,0.06571626087623672
1998,1998-07-17,1998-10-08,0.2516,Band 25% rel (daily check),-0.15591022276495248,0.29024046587223196,0.08992158848556464,0.06161983813324823
1998,1998-07-17,1998-10-08,0.2516,5/25 rule (daily check),-0.15646729828614514,0.30558274351319326,0.09783674179682444,0.06571626087623672
1998,1998-07-17,1998-10-08,0.2516,Band 5pp (monthly check),-0.16333926854863323,0.3071975109291414,0.09628989028758461,0.06360559529861809
1998,1998-07-17,1998-10-08,0.2516,5/25 rule (monthly check),-0.16333926854863323,0.3071975109291414,0.09628989028758461,0.06360559529861809
1998,1998-07-17,1998-10-08,0.2516,5/25 rule (annual check),-0.1616772583356234,0.3004705149637892,0.10618383380948049,0.06810357102683384
1998,1998-07-17,1998-10-08,0.2516,Drawdown trigger -15%,-0.17615487082648096,0.30125240669999087,0.09320541686546746,0.06313025807468953
1998,1998-07-17,1998-10-08,0.2516,Drawdown trigger -20%,-0.18329877470498768,0.30689382957156885,0.09185894408452411,0.05939813247130532
2003,2000-09-08,2003-03-12,0.5014,Never (drift),-0.3718481118704119,0.23753992433493298,0.17400470491614461,0.10989510467601526
2003,2000-09-08,2003-03-12,0.5014,Monthly,-0.29358174094544986,0.2142235355884976,0.16629658124681734,0.11607731836931734
2003,2000-09-08,2003-03-12,0.5014,Quarterly,-0.2861944425677422,0.21394535767531253,0.16594401636967548,0.11698229811862304
2003,2000-09-08,2003-03-12,0.5014,Semi-annual,-0.2925432424084651,0.21335107849434443,0.16606890090637383,0.11781867900010634
2003,2000-09-08,2003-03-12,0.5014,Annual,-0.28458350318420433,0.21440185151238111,0.1663021060789498,0.11693410996737796
2003,2000-09-08,2003-03-12,0.5014,Daily (constant mix),-0.3350640359649746,0.18372010757519508,0.13770468832653426,0.091495806969357
2003,2000-09-08,2003-03-12,0.5014,Band 5pp (daily check),-0.28717961178341267,0.21990249108262616,0.17018584042076812,0.1194708290936779
2003,2000-09-08,2003-03-12,0.5014,Band 25% rel (daily check),-0.2944531183435175,0.2227762031558007,0.17221443094264632,0.12162846937010019
2003,2000-09-08,2003-03-12,0.5014,5/25 rule (daily check),-0.28717961178341267,0.21990249108262616,0.17018584042076812,0.1194708290936779
2003,2000-09-08,2003-03-12,0.5014,Band 5pp (monthly check),-0.2906505778769566,0.21939438316228776,0.16869960730882605,0.11934333571967803
2003,2000-09-08,2003-03-12,0.5014,5/25 rule (monthly check),-0.2906505778769566,0.21939438316228776,0.16869960730882605,0.11934333571967803
2003,2000-09-08,2003-03-12,0.5014,5/25 rule (annual check),-0.27777819612878973,0.21353424938589316,0.16791218483406034,0.11943505048837322
2003,2000-09-08,2003-03-12,0.5014,Drawdown trigger -15%,-0.29447440422287774,0.21839902904716735,0.17159174414882794,0.11945077991921793
2003,2000-09-08,2003-03-12,0.5014,Drawdown trigger -20%,-0.3000558612523506,0.19597987103454484,0.16197780692789898,0.11798555369265795
2009,2007-10-12,2009-03-06,0.4011,Never (drift),-0.131081990732828,0.3605345800139419,0.15948069447473445,0.11304393077218
2009,2007-10-12,2009-03-06,0.4011,Monthly,-0.050844447267899384,0.3869346137536367,0.17524714734172586,0.12018363829450673
2009,2007-10-12,2009-03-06,0.4011,Quarterly,-0.050018825805784206,0.37026117957352356,0.17420894058454595,0.11972039828091718
2009,2007-10-12,2009-03-06,0.4011,Semi-annual,-0.03501771934376041,0.36119501507133056,0.1669334249235208,0.1159371520154302
2009,2007-10-12,2009-03-06,0.4011,Annual,-0.02268572128358981,0.3659526497452721,0.1649481897690095,0.11633983268077608
2009,2007-10-12,2009-03-06,0.4011,Daily (constant mix),-0.06890590509082994,0.3619331480646699,0.15732768946385134,0.10432765300714664
