window_years,policy,n_windows,share_beating_monthly,median_diff_bps,p25_bps,p75_bps
10,Never (drift),297,0.4276094276094276,-14.71197476209829,-122.75383693396202,26.676362390021247
10,Quarterly,297,0.696969696969697,7.331760267035303,-0.6914845404315528,24.248567457654246
10,Semi-annual,297,0.3501683501683502,-2.2842947010048853,-6.614939142435272,0.5877517006003252
10,Annual,297,0.6767676767676768,10.142730726367954,-7.809392577773355,22.628860663307382
10,Daily (constant mix),297,0.0,-184.0072458324471,-253.8394710933556,-118.18313292291992
10,Band 5pp (daily check),297,0.9461279461279462,17.292713274092986,5.785922412000488,34.21776258970333
10,Band 25% rel (daily check),297,0.9259259259259259,22.15313210961023,13.058377491621531,32.54125010001552
10,5/25 rule (daily check),297,0.9461279461279462,17.292713274092986,5.785922412000488,34.21776258970333
10,Band 5pp (monthly check),297,0.9225589225589226,21.35520978454153,10.173969228830515,27.22899756352648
10,5/25 rule (monthly check),297,0.9225589225589226,21.35520978454153,10.173969228830515,27.22899756352648
10,5/25 rule (annual check),297,0.7272727272727273,29.96060877127782,-0.9261721414288715,53.799610711080526
10,Drawdown trigger -15%,297,0.7878787878787878,39.43690854354642,9.388720797562922,61.72592212445149
10,Drawdown trigger -20%,297,0.7912457912457912,36.49264676925279,4.481531324436183,54.07520195096049
20,Never (drift),177,0.0,-53.44783061616232,-70.11285624696883,-45.71871269541505
20,Quarterly,177,1.0,8.617588321631064,3.6744062712301684,12.147875245605011
20,Semi-annual,177,0.1751412429378531,-3.6300710613135223,-4.7968920482643895,-1.2144865309848818
20,Annual,177,0.7457627118644068,8.884403428013332,-0.09531680744245818,15.680004818801052
20,Daily (constant mix),177,0.0,-182.9232576529405,-221.39839522326233,-151.38023476905406
20,Band 5pp (daily check),177,1.0,17.09275299879076,14.326837112508262,26.953338574273733
20,Band 25% rel (daily check),177,1.0,21.310760748314284,18.135355131785325,27.58472961441827
20,5/25 rule (daily check),177,1.0,17.09275299879076,14.326837112508262,26.953338574273733
20,Band 5pp (monthly check),177,1.0,18.732483997891958,15.726592834486297,23.97659259482543
20,5/25 rule (monthly check),177,1.0,18.732483997891958,15.726592834486297,23.97659259482543
20,5/25 rule (annual check),177,1.0,29.741723040357382,11.143347409232618,41.12140353293326
20,Drawdown trigger -15%,177,1.0,31.163926134245568,19.94508544467255,54.47867327546652
20,Drawdown trigger -20%,177,0.96045197740113,31.599824098267337,20.27799417276155,37.69833573025405
