portfolio,policy,family,currency,cost_model,start,end,years,cagr,volatility,sharpe,sortino,max_drawdown,ulcer_index,time_underwater,terminal_wealth,trades_per_year,turnover_per_year,cost_drag_bps,total_cost,mean_abs_weight_deviation,max_abs_weight_deviation,mean_equity_weight,max_equity_weight,allocation_effect_bps,rebalancing_effect_bps,cost_effect_bps
60/40,Never (drift),calendar,GBP,base,1991-11-01,2026-08-04,34.72,0.08795954025890707,0.13065829134638784,0.4526902195532915,0.4523526261980224,-0.3305417586463816,0.08684691870909665,0.9215910389758829,1866940.9158542335,0.0,0.0,0.0,0.0,0.09025075111570609,0.2614726966518298,0.6873429232763428,0.8614726966518298,33.36340238170976,-12.480141635748954,5.45927271384361
60/40,Monthly,calendar,GBP,base,1991-11-01,2026-08-04,34.72,0.08532528691292662,0.12128536340287796,0.45790370801800334,0.46333551661792277,-0.2895642273826867,0.07127444853354077,0.9227340267459139,1716241.4768112511,12.010972682592296,0.22313445336787205,5.45927271384361,6516.950055455336,0.006570443259310001,0.09524211780082142,0.6004458535339229,0.6509752100535636,0.0,0.0,-0.0
60/40,Quarterly,calendar,GBP,base,1991-11-01,2026-08-04,34.72,0.08698732888801208,0.12031273307370831,0.4733555010065457,0.4786148998183797,-0.2796936561855481,0.06868754395059166,0.9214767401988798,1809884.0333894724,4.003657560864099,0.14248412510485822,2.056728266057739,2690.0411609641424,0.012035004475735238,0.12581148510729118,0.6015674200143444,0.6702059223050298,0.45070003046987495,12.767175272598852,3.4025444477858713
60/40,Semi-annual,calendar,GBP,base,1991-11-01,2026-08-04,34.72,0.085590486361792,0.11908711769707409,0.4662067190882244,0.47008763940042153,-0.28737019409747333,0.07088225761726297,0.922848325522917,1730861.1995589938,2.016230426334438,0.09583337466006693,1.1384054293839263,1538.4617080571206,0.015046482710264666,0.17491041465020657,0.5998708167717561,0.6548093540508755,-0.23128070569811143,-1.4375920901077421,4.320867284459684
60/40,Annual,calendar,GBP,base,1991-11-01,2026-08-04,34.72,0.08636613245395863,0.11874703546083852,0.473227254252786,0.4766801089003346,-0.2795786166199896,0.06852626017365941,0.9218196365298891,1774318.0589114106,1.008115213167219,0.0716620007820258,0.6619703780041952,933.124044442632,0.020094271483327122,0.20630220641456104,0.6021891673511649,0.6760865710330185,0.700322909978901,4.910830164501778,4.797302335839415
60/40,Daily (constant mix),control,GBP,base,1991-11-01,2026-08-04,34.72,0.07481888310261575,0.1225214990681643,0.3750865232867634,0.3796060472812763,-0.31112553561530565,0.08112212073506686,0.9318779289061607,1224352.5206133318,252.0,0.9951013759478512,118.24278061888016,109290.41599199487,0.0019744074919600223,0.035256471600516204,0.6000352564562993,0.6293301067188684,-0.16512875826713014,7.884598560194966,-112.78350790503654
60/40,Band 5pp (daily check),threshold,GBP,base,1991-11-01,2026-08-04,34.72,0.08692723298250615,0.12270425577901181,0.46603756289333725,0.4716613168705496,-0.2847275407882909,0.06927645055706466,0.9209052463138644,1806413.275796386,0.8640987541433307,0.09032749223748883,0.621565828395898,1005.7961164995043,0.019601698076619357,0.06421861521734196,0.6137249213445117,0.6532892284856331,5.302576026509076,5.879177783838507,4.837706885447712
60/40,Band 25% rel (daily check),threshold,GBP,base,1991-11-01,2026-08-04,34.72,0.08790271787604476,0.12304596302032457,0.4723955102191049,0.4763760980599342,-0.2841261996931953,0.0709475389484937,0.9212481426448736,1863558.610687851,0.2592296262429992,0.05320736313064068,0.2850522236430564,534.4642546639997,0.03850275637040653,0.10969431890736156,0.6302260947961209,0.7012135280945396,11.789398863621958,8.810690277358812,5.174220490200554
60/40,5/25 rule (daily check),threshold,GBP,base,1991-11-01,2026-08-04,34.72,0.08692723298250615,0.12270425577901181,0.46603756289333725,0.4716613168705496,-0.2847275407882909,0.06927645055706466,0.9209052463138644,1806413.275796386,0.8640987541433307,0.09032749223748883,0.621565828395898,1005.7961164995043,0.019601698076619357,0.06421861521734196,0.6137249213445117,0.6532892284856331,5.302576026509076,5.879177783838507,4.837706885447712
60/40,Band 5pp (monthly check),hybrid,GBP,base,1991-11-01,2026-08-04,34.72,0.08707341136237767,0.12142550272258487,0.47078420963531115,0.47536381442599845,-0.28049157245819023,0.06926196546243703,0.9212481426448736,1814866.8951717117,0.6624757115098868,0.07913521323008167,0.5212125617481966,862.7831411129555,0.02042792403418057,0.12581148510729137,0.6122778071449152,0.6676816108625877,4.728281916537291,7.81490242587779,4.938060152095414
