policy,sell_turnover_per_year,embedded_gain_fraction,cgt_rate,band,annual_tax_drag_bps
Never (drift),0.0,0.2,0.18,basic,0.0
Never (drift),0.0,0.2,0.24,higher,0.0
Never (drift),0.0,0.4,0.18,basic,0.0
Never (drift),0.0,0.4,0.24,higher,0.0
Never (drift),0.0,0.6,0.18,basic,0.0
Never (drift),0.0,0.6,0.24,higher,0.0
Monthly,0.12447824305880767,0.2,0.18,basic,44.81216750117077
Monthly,0.12447824305880767,0.2,0.24,higher,59.74955666822768
Monthly,0.12447824305880767,0.4,0.18,basic,89.62433500234154
Monthly,0.12447824305880767,0.4,0.24,higher,119.49911333645537
Monthly,0.12447824305880767,0.6,0.18,basic,134.4365025035123
Monthly,0.12447824305880767,0.6,0.24,higher,179.24867000468302
Quarterly,0.07518969560803677,0.2,0.18,basic,27.06829041889324
Quarterly,0.07518969560803677,0.2,0.24,higher,36.091053891857655
Quarterly,0.07518969560803677,0.4,0.18,basic,54.13658083778648
Quarterly,0.07518969560803677,0.4,0.24,higher,72.18210778371531
Quarterly,0.07518969560803677,0.6,0.18,basic,81.20487125667972
Quarterly,0.07518969560803677,0.6,0.24,higher,108.27316167557295
Semi-annual,0.049647953269696156,0.2,0.18,basic,17.873263177090617
Semi-annual,0.049647953269696156,0.2,0.24,higher,23.831017569454154
Semi-annual,0.049647953269696156,0.4,0.18,basic,35.746526354181235
Semi-annual,0.049647953269696156,0.4,0.24,higher,47.66203513890831
Semi-annual,0.049647953269696156,0.6,0.18,basic,53.61978953127185
Semi-annual,0.049647953269696156,0.6,0.24,higher,71.49305270836247
Annual,0.03813426152755604,0.2,0.18,basic,13.728334149920178
Annual,0.03813426152755604,0.2,0.24,higher,18.3044455332269
Annual,0.03813426152755604,0.4,0.18,basic,27.456668299840356
Annual,0.03813426152755604,0.4,0.24,higher,36.6088910664538
Annual,0.03813426152755604,0.6,0.18,basic,41.185002449760525
Annual,0.03813426152755604,0.6,0.24,higher,54.9133365996807
Daily (constant mix),0.5748518387813708,0.2,0.18,basic,206.9466619612935
Daily (constant mix),0.5748518387813708,0.2,0.24,higher,275.928882615058
Daily (constant mix),0.5748518387813708,0.4,0.18,basic,413.893323922587
Daily (constant mix),0.5748518387813708,0.4,0.24,higher,551.857765230116
Daily (constant mix),0.5748518387813708,0.6,0.18,basic,620.8399858838804
Daily (constant mix),0.5748518387813708,0.6,0.24,higher,827.7866478451739
Band 5pp (daily check),0.05075489946840636,0.2,0.18,basic,18.27176380862629
Band 5pp (daily check),0.05075489946840636,0.2,0.24,higher,24.362351744835056
Band 5pp (daily check),0.05075489946840636,0.4,0.18,basic,36.54352761725258
Band 5pp (daily check),0.05075489946840636,0.4,0.24,higher,48.72470348967011
Band 5pp (daily check),0.05075489946840636,0.6,0.18,basic,54.81529142587887
Band 5pp (daily check),0.05075489946840636,0.6,0.24,higher,73.08705523450516
Band 25% rel (daily check),0.037705131286776605,0.2,0.18,basic,13.573847263239577
Band 25% rel (daily check),0.037705131286776605,0.2,0.24,higher,18.09846301765277
Band 25% rel (daily check),0.037705131286776605,0.4,0.18,basic,27.147694526479153
Band 25% rel (daily check),0.037705131286776605,0.4,0.24,higher,36.19692603530554
Band 25% rel (daily check),0.037705131286776605,0.6,0.18,basic,40.72154178971873
Band 25% rel (daily check),0.037705131286776605,0.6,0.24,higher,54.295389052958306
5/25 rule (daily check),0.05075489946840636,0.2,0.18,basic,18.27176380862629
5/25 rule (daily check),0.05075489946840636,0.2,0.24,higher,24.362351744835056
5/25 rule (daily check),0.05075489946840636,0.4,0.18,basic,36.54352761725258
5/25 rule (daily check),0.05075489946840636,0.4,0.24,higher,48.72470348967011
5/25 rule (daily check),0.05075489946840636,0.6,0.18,basic,54.81529142587887
5/25 rule (daily check),0.05075489946840636,0.6,0.24,higher,73.08705523450516
Band 5pp (monthly check),0.041813211932688825,0.2,0.18,basic,15.052756295767978
Band 5pp (monthly check),0.041813211932688825,0.2,0.24,higher,20.07034172769064
