variant,final_equity,total_return_pct,cagr_pct,max_drawdown_pct,n_trades,win_rate_pct,avg_trade_pct
base,1348.22,34.8,6.2,-31.7,629,51.4,0.22
score_0.05,1523.19,52.3,8.8,-23.9,616,52.1,0.23
score_0.10,1579.86,58.0,9.6,-21.3,497,52.9,0.24
new_per_day_2,1279.49,27.9,5.1,-32.2,629,49.9,0.18
new_per_day_1,1187.0,18.7,3.5,-27.2,595,49.2,0.06
dip_only,1004.72,0.5,0.1,-36.0,570,48.8,-0.01
extreme_z_2,1096.57,9.7,1.9,-35.4,553,48.6,0.14
edge_min_0.6,1100.6,10.1,1.9,-34.9,571,50.8,0.12
edge_min_1.0,908.75,-9.1,-1.9,-43.3,450,51.8,0.11
n_min_25,1415.21,41.5,7.2,-28.4,633,50.1,0.17
selective,1259.84,26.0,4.7,-23.6,528,51.1,0.15
risk_1pct,1482.23,48.2,8.2,-25.5,788,51.3,0.2
risk_3pct,1295.13,29.5,5.3,-31.4,587,51.1,0.21
with_leverage,972.52,-2.7,-0.6,-43.3,722,50.1,0.09
tp_2.0R,1297.22,29.7,5.4,-32.6,632,50.9,0.24
tp_1.0R,1076.99,7.7,1.5,-40.7,700,51.1,0.11
maxpos_4,1344.08,34.4,6.1,-31.1,606,51.8,0.24
spread_0.10pct,1759.22,75.9,12.0,-27.5,629,53.7,0.38
spread_0.50pct,870.31,-13.0,-2.7,-46.5,630,48.3,-0.03
stop_mult_1.0,1481.07,48.1,8.2,-31.7,621,49.6,0.19
stop_mult_1.6,1464.87,46.5,8.0,-29.0,653,51.9,0.19
