setup,hold,n,win%,gross%,edge%,net%,net/day,ann_net%
bounce,3,2102,54.6,0.207,0.159,-0.093,-0.0308,-7.8
bounce,5,2099,56.2,0.391,0.277,0.091,0.0183,4.6
bounce,10,2086,57.3,0.874,0.582,0.574,0.0574,14.5
bounce,15,2050,56.0,1.1,0.604,0.8,0.0534,13.4
bounce,21,2031,57.8,1.465,0.708,1.165,0.0555,14.0
bounce,42,1974,57.2,2.716,1.119,2.416,0.0575,14.5
bounce,63,1920,59.4,4.016,1.583,3.716,0.059,14.9
streak,3,3345,50.8,0.068,0.019,-0.232,-0.0774,-19.5
streak,5,3339,52.9,0.189,0.074,-0.111,-0.0222,-5.6
streak,10,3326,54.1,0.364,0.073,0.064,0.0064,1.6
streak,15,3292,54.9,0.55,0.053,0.25,0.0167,4.2
streak,21,3278,56.5,0.907,0.149,0.607,0.0289,7.3
streak,42,3200,59.6,1.65,0.054,1.35,0.0322,8.1
streak,63,3167,62.6,2.786,0.354,2.486,0.0395,9.9
multiday,3,181,59.7,1.023,0.974,0.723,0.2409,60.7
multiday,5,181,58.0,1.339,1.225,1.039,0.2079,52.4
multiday,10,177,59.3,1.599,1.308,1.299,0.1299,32.7
multiday,15,169,52.7,0.777,0.28,0.477,0.0318,8.0
multiday,21,167,58.1,1.447,0.689,1.147,0.0546,13.8
multiday,42,158,58.2,4.038,2.441,3.738,0.089,22.4
multiday,63,149,58.4,5.374,2.942,5.074,0.0805,20.3
breakout,3,6883,53.7,0.087,0.038,-0.213,-0.0711,-17.9
breakout,5,6874,53.8,0.145,0.031,-0.155,-0.0309,-7.8
breakout,10,6818,55.2,0.341,0.05,0.041,0.0041,1.0
breakout,15,6813,56.4,0.549,0.052,0.249,0.0166,4.2
breakout,21,6767,56.8,0.777,0.02,0.477,0.0227,5.7
breakout,42,6618,58.1,1.353,-0.244,1.053,0.0251,6.3
breakout,63,6433,60.7,2.174,-0.258,1.874,0.0298,7.5
cross,3,2063,54.5,-0.004,-0.053,-0.304,-0.1013,-25.5
cross,5,2061,54.1,0.067,-0.048,-0.233,-0.0466,-11.7
cross,10,2052,54.3,0.193,-0.098,-0.107,-0.0107,-2.7
cross,15,2045,54.9,0.308,-0.189,0.008,0.0005,0.1
cross,21,2037,55.1,0.386,-0.372,0.086,0.0041,1.0
cross,42,2013,57.1,1.267,-0.329,0.967,0.023,5.8
cross,63,1950,55.5,1.313,-1.119,1.013,0.0161,4.1
range,3,1454,51.8,-0.019,-0.067,-0.319,-0.1062,-26.8
range,5,1453,53.2,0.148,0.033,-0.152,-0.0304,-7.7
range,10,1447,51.9,0.389,0.098,0.089,0.0089,2.2
range,15,1438,54.0,0.716,0.219,0.416,0.0277,7.0
range,21,1429,56.3,1.203,0.446,0.903,0.043,10.8
range,42,1387,58.7,2.225,0.628,1.925,0.0458,11.5
range,63,1327,58.4,3.085,0.652,2.785,0.0442,11.1
