ticker,ann_vol%,fix_bounce,z_bounce,fix_md8,z_md
GLT5.L,2.9,0,49,0,33
IHYU.L,4.8,2,30,0,19
LQDE.L,7.1,2,36,0,22
ITPS.L,7.4,4,27,0,13
SEMB.L,7.7,5,30,0,19
IGLT.L,8.0,3,34,1,19
JEGP.L,8.1,2,17,0,12
MINV.L,8.5,8,21,1,16
FWRG.L,9.8,6,21,2,10
MVUS.L,9.9,11,26,2,17
ISF.L,10.0,17,31,1,22
SSAC.L,10.8,13,35,2,25
IUCS.L,10.9,18,37,1,23
IWFV.L,11.0,23,35,1,17
INFR.L,11.0,9,29,0,20
IWFQ.L,11.0,21,34,2,21
SMEA.L,11.5,21,19,6,16
IAPD.L,11.5,23,30,1,16
VUSA.L,11.6,22,33,3,26
SPEX.L,11.6,20,17,3,15
IUKD.L,11.6,25,31,3,21
IGWD.L,12.0,23,37,2,25
IEUX.L,12.1,24,32,4,21
IUQF.L,12.3,27,36,4,19
IWDP.L,12.3,20,30,2,21
IH2O.L,12.4,22,32,1,14
IWDA.L,12.4,26,37,2,25
IDVY.L,12.5,32,32,4,18
CSCA.L,12.5,25,31,1,19
MIDD.L,12.5,25,34,4,21
IUHC.L,12.6,22,32,2,17
SGLN.L,12.7,29,42,2,19
XXSC.L,12.9,30,28,6,20
CEU1.L,13.0,28,32,4,20
EMXG.L,13.0,25,15,3,10
IGUS.L,13.0,29,40,4,26
SPAG.L,13.3,31,28,2,19
ICOM.L,13.3,32,43,3,21
IWFM.L,13.6,33,38,3,17
IDTL.L,13.7,22,30,1,15
XDAX.L,13.8,34,29,5,17
IUVF.L,13.9,31,29,2,13
ISFR.L,13.9,31,29,5,23
NDIA.L,14.0,37,26,2,25
IBTL.L,14.5,34,24,2,11
CSX5.L,14.6,33,28,3,17
IUIS.L,14.8,36,30,2,21
IUFS.L,15.1,50,32,4,20
IUUS.L,15.2,40,34,3,18
IJPA.L,15.5,39,37,4,18
CNKY.L,15.5,37,33,3,24
CPXJ.L,15.6,34,32,2,19
NATP.L,15.6,30,18,1,10
IUMF.L,15.6,47,32,5,19
EIMI.L,15.7,43,34,3,24
IASH.L,16.2,44,19,6,15
IFFF.L,16.6,48,31,4,18
IPRV.L,16.7,53,33,4,26
EQQQ.L,16.9,55,35,4,24
ISP6.L,16.9,46,25,4,14
SAUS.L,17.0,46,14,7,13
HIDR.L,17.3,56,31,9,26
IUKP.L,17.7,56,32,4,20
ITWN.L,17.7,56,35,3,21
X7PP.L,18.4,70,34,9,16
LTAM.L,18.9,74,36,6,22
IUCD.L,19.2,84,33,9,22
BATG.L,19.4,66,42,9,19
RBOT.L,20.1,96,35,12,22
FDN.L,20.6,99,37,16,23
IKOR.L,20.7,82,39,6,24
ISPY.L,20.8,80,34,11,24
IUIT.L,21.5,94,42,6,28
COPA.L,22.2,92,28,4,17
SRSA.L,22.2,95,25,7,20
INRG.L,22.3,97,24,12,12
IUES.L,22.5,89,36,11,20
IBZL.L,23.0,105,35,13,20
SPOL.L,23.2,100,29,12,16
FXC.L,23.6,111,25,11,15
AIAG.L,23.8,105,39,15,23
SPOG.L,24.9,116,42,18,23
SSLN.L,25.7,119,39,24,17
SEMI.L,27.4,122,32,23,19
SPGP.L,27.7,129,37,24,20
KLWD.L,27.9,148,34,36,20
BRNT.L,28.1,146,43,22,20
CRUD.L,29.0,148,43,25,20
URNP.L,35.3,130,16,28,10
NGAS.L,52.2,257,30,76,20
ARKS.L,122.9,191,10,75,5
