,AVSG,AVWC,DFND_EU,EMIM,ERNS,GLIN,IGLS,IWQU,JMFP,MVOL,SGLN,URNM,XDEW
AVSG,1.0,0.769,0.744,0.557,0.48,0.341,0.148,0.639,0.285,0.612,-0.012,0.361,0.673
AVWC,0.769,1.0,0.701,0.712,0.506,0.432,0.16,0.697,0.267,0.702,0.113,0.421,0.621
DFND_EU,0.744,0.701,1.0,0.457,0.452,0.337,0.104,0.588,0.368,0.592,0.014,0.25,0.581
EMIM,0.557,0.712,0.457,1.0,0.378,0.373,0.131,0.52,0.17,0.538,0.233,0.436,0.443
ERNS,0.48,0.506,0.452,0.378,1.0,0.291,0.143,0.405,0.278,0.415,0.113,0.207,0.441
GLIN,0.341,0.432,0.337,0.373,0.291,1.0,0.295,0.211,0.206,0.318,0.341,0.262,0.179
IGLS,0.148,0.16,0.104,0.131,0.143,0.295,1.0,-0.082,0.137,0.066,0.52,0.074,-0.112
IWQU,0.639,0.697,0.588,0.52,0.405,0.211,-0.082,1.0,0.2,0.783,-0.199,0.364,0.742
JMFP,0.285,0.267,0.368,0.17,0.278,0.206,0.137,0.2,1.0,0.244,0.182,0.041,0.204
MVOL,0.612,0.702,0.592,0.538,0.415,0.318,0.066,0.783,0.244,1.0,0.035,0.378,0.667
SGLN,-0.012,0.113,0.014,0.233,0.113,0.341,0.52,-0.199,0.182,0.035,1.0,0.194,-0.192
URNM,0.361,0.421,0.25,0.436,0.207,0.262,0.074,0.364,0.041,0.378,0.194,1.0,0.36
XDEW,0.673,0.621,0.581,0.443,0.441,0.179,-0.112,0.742,0.204,0.667,-0.192,0.36,1.0
