key,ticker,name,sleeve,weight,pie_pct
AVWC,AVCG.L,Avantis Global Equity (value/profitability),equity,0.1477,14.8
JMFP,JMFP.L,JPM Managed Futures (GBP-hedged),diversifier,0.143,14.3
IGLS,IGLS.L,iShares UK Gilts 0-5yr,ballast,0.0989,9.9
MVOL,MVOL.L,iShares Edge MSCI World Min Volatility,equity_defensive,0.098,9.8
SGLN,SGLN.L,iShares Physical Gold ETC,real_asset,0.096,9.6
AVSG,AVSG.L,Avantis Global Small Cap Value,equity,0.0919,9.2
GLIN,INFR.L,iShares Global Infrastructure,real_asset,0.0869,8.7
EMIM,EMIM.L,iShares Core MSCI EM IMI,equity,0.0772,7.7
IWQU,IWQU.L,iShares Edge MSCI World Quality,equity,0.0657,6.6
XDEW,XDEW.L,Xtrackers S&P 500 Equal Weight,equity,0.0504,5.0
DFND_EU,NAVY.L,"HANetf Future of European Defence (Screened, ex-US)",theme,0.0446,4.5
