key,ticker,name,sleeve,weight,pie_pct
AVWC,AVCG.L,Avantis Global Equity (value/profitability),equity,0.1908,19.1
AVSG,AVSG.L,Avantis Global Small Cap Value,equity,0.1595,16.0
EMIM,EMIM.L,iShares Core MSCI EM IMI,equity,0.1172,11.7
GLIN,INFR.L,iShares Global Infrastructure,real_asset,0.0931,9.3
JMFP,JMFP.L,JPM Managed Futures (GBP-hedged),diversifier,0.0918,9.2
IWQU,IWQU.L,iShares Edge MSCI World Quality,equity,0.0865,8.6
XDEW,XDEW.L,Xtrackers S&P 500 Equal Weight,equity,0.0806,8.1
DFND_EU,NAVY.L,"HANetf Future of European Defence (Screened, ex-US)",theme,0.0672,6.7
SGLN,SGLN.L,iShares Physical Gold ETC,real_asset,0.0586,5.9
URNM,URNP.L,Sprott Uranium Miners (HANetf),theme,0.0548,5.5
