block,shift,max_weight_move,most_sensitive_holding,geo_up,geo_down,geo_spread
em_premium,0.01,0.09845185966028926,EMIM,0.05620126422351322,0.05516504161347463,0.0010362226100385924
size_value_premium,0.01,0.09845182714622662,EMIM,0.0581650416127723,0.053001264249148,0.005163777363624299
gilt_short_premium,0.01,0.08947368419635837,ERNS,0.05816504161347528,0.052605071075527914,0.005559970537947365
equalweight_tilt,0.01,7.609085583837327e-10,GLIN,0.055165041602043004,0.05516504160698292,4.939916531387922e-12
infra_premium,0.01,6.757783915789517e-10,GLIN,0.05621767319040979,0.054112410031030456,0.0021052631593793322
equity_dev,0.01,6.730529467091628e-10,GLIN,0.05921767319149958,0.051112410030986544,0.008105263160513035
gold_real,0.01,4.3492344448115006e-10,GLIN,0.05516504160688321,0.05516504161242947,5.5462648362869515e-12
cash,0.01,4.221143712346276e-10,GLIN,0.06111241003457044,0.04921767318142028,0.011894736853150165
mf_premium,0.01,8.458785061282725e-11,GLIN,0.05600714687582902,0.05432293635024301,0.0016842105255860107
uranium_theme,0.01,2.8784474803700277e-11,GLIN,0.055165041613359306,0.05516504161377479,4.15487089178157e-13
defence_theme,0.01,2.7387037082604593e-11,GLIN,0.055165041613339155,0.05516504161354869,2.0953377921628658e-13
minvol_drag,0.01,1.0140110973111405e-11,JMFP,0.055165041613777444,0.05516504161370138,7.606415497463104e-14
value_premium,0.01,0.0,AVSG,0.05516504161378743,0.05516504161378743,0.0
profitability_q,0.01,0.0,AVSG,0.05516504161378743,0.05516504161378743,0.0
