year,mean_pot_gbp,annual_fee_gbp,fee_drag_pct
1,10055.738526,71.88,0.007148
2,29658.837471,71.88,0.002424
3,50906.48628,71.88,0.001412
4,73737.434809,71.88,0.000975
5,98524.203707,71.88,0.00073
6,125470.981918,71.88,0.000573
7,154030.559001,71.88,0.000467
8,185098.418388,71.88,0.000388
9,218710.625751,71.88,0.000329
10,254994.339702,71.88,0.000282
11,294390.745379,71.88,0.000244
12,336920.772266,71.88,0.000213
13,383997.958495,71.88,0.000187
14,434280.995206,71.88,0.000166
15,487326.026942,71.88,0.000147
16,546451.1752,71.88,0.000132
17,610649.03069,71.88,0.000118
18,678793.113498,71.88,0.000106
19,751576.914826,71.88,9.6e-05
20,831615.482579,71.88,8.6e-05
21,915305.313823,71.88,7.9e-05
22,1010250.190582,71.88,7.1e-05
23,1111291.975387,71.88,6.5e-05
