,max_geometric_raw,black_litterman_raw,michaud_resampled,michaud_black_litterman,ensemble,hrp,erc,floored
AVWC,0.35,0.0,0.2118,0.0551,0.1334,0.0677,0.1013,0.1883
AVSG,0.35,0.35,0.1828,0.3053,0.244,0.0383,0.0849,0.1708
XDEW,0.0,0.3,0.0801,0.2168,0.1484,0.0754,0.0909,0.0711
IWQU,0.0,0.0,0.0847,0.013,0.0488,0.1229,0.1163,0.0763
UKEQ,0.0,0.0,0.1356,0.0256,0.0806,0.1357,0.1127,0.1204
EMVL,0.3,0.35,0.1725,0.2851,0.2288,0.1399,0.0874,0.1605
JPNV,0.0,0.0,0.0525,0.0222,0.0374,0.1604,0.1234,0.0538
SGLN,0.0,0.0,0.0436,0.0158,0.0297,0.1391,0.1909,0.0795
GLIN,0.0,0.0,0.0365,0.0612,0.0488,0.1205,0.0923,0.0792
exp_geometric,0.0819,0.0748,0.0753,0.0742,0.0748,0.0661,0.0656,0.0729
exp_arithmetic,0.0935,0.0877,0.0841,0.0854,0.0847,0.0729,0.0721,0.0811
volatility,0.1526,0.1605,0.1332,0.1498,0.1411,0.1163,0.1137,0.1284
