block,shift,max_weight_move,most_sensitive_holding,geo_up,geo_down,geo_spread
value_premium,0.01,0.098,AVWC,0.0786,0.0731,0.0055
profitability_q,0.01,0.0856,AVWC,0.0797,0.0726,0.0071
uk_value_premium,0.01,0.0806,UKEQ,0.0775,0.0745,0.003
em_premium,0.01,0.057,EMVL,0.0778,0.0737,0.0041
em_value_premium,0.01,0.057,EMVL,0.0778,0.0737,0.0041
equalweight_tilt,0.01,0.0555,XDEW,0.0756,0.0753,0.0003
size_value_premium,0.01,0.0461,AVSG,0.078,0.0734,0.0046
japan_valueup,0.01,0.0167,JPNV,0.0758,0.0749,0.0008
infra_premium,0.01,0.0147,GLIN,0.0754,0.0752,0.0001
cash,0.01,0.0086,SGLN,0.0755,0.075,0.0005
gold_real,0.01,0.0086,SGLN,0.0755,0.075,0.0005
equity_dev,0.01,0.0086,SGLN,0.085,0.0655,0.0195
gilt_short_premium,0.01,0.0,AVWC,0.0752,0.0752,0.0
defence_theme,0.01,0.0,AVWC,0.0752,0.0752,0.0
mf_premium,0.01,0.0,AVWC,0.0752,0.0752,0.0
minvol_drag,0.01,0.0,AVWC,0.0752,0.0752,0.0
uranium_theme,0.01,0.0,AVWC,0.0752,0.0752,0.0
grid_theme,0.01,0.0,AVWC,0.0752,0.0752,0.0
nuclear_theme,0.01,0.0,AVWC,0.0752,0.0752,0.0
silver_real,0.01,0.0,AVWC,0.0752,0.0752,0.0
water_theme,0.01,0.0,AVWC,0.0752,0.0752,0.0
