block,shift,max_weight_move,most_sensitive_holding,geo_up,geo_down,geo_spread
value_premium,0.01,0.35,AVWC,0.0854,0.0798,0.0056
profitability_q,0.01,0.35,AVWC,0.0854,0.0798,0.0056
uk_value_premium,0.01,0.35,UKEQ,0.0845,0.0819,0.0026
size_value_premium,0.01,0.35,AVSG,0.0854,0.0799,0.0055
em_premium,0.01,0.3,UKEQ,0.0852,0.0812,0.004
em_value_premium,0.01,0.3,UKEQ,0.0852,0.0812,0.004
japan_valueup,0.01,0.0331,JPNV,0.0819,0.0819,0.0
cash,0.01,0.0,EMVL,0.0819,0.0819,0.0
infra_premium,0.01,0.0,EMVL,0.0819,0.0819,0.0
equalweight_tilt,0.01,0.0,EMVL,0.0819,0.0819,0.0
gold_real,0.01,0.0,EMVL,0.0819,0.0819,0.0
gilt_short_premium,0.01,0.0,AVWC,0.0819,0.0819,0.0
equity_dev,0.01,0.0,AVWC,0.0919,0.0719,0.02
defence_theme,0.01,0.0,AVWC,0.0819,0.0819,0.0
mf_premium,0.01,0.0,AVWC,0.0819,0.0819,0.0
minvol_drag,0.01,0.0,AVWC,0.0819,0.0819,0.0
uranium_theme,0.01,0.0,AVWC,0.0819,0.0819,0.0
grid_theme,0.01,0.0,AVWC,0.0819,0.0819,0.0
nuclear_theme,0.01,0.0,AVWC,0.0819,0.0819,0.0
silver_real,0.01,0.0,AVWC,0.0819,0.0819,0.0
water_theme,0.01,0.0,AVWC,0.0819,0.0819,0.0
