,AVWC,AVSG,XDEW,IWQU,UKEQ,EMVL,JPNV,SGLN,GLIN
cash:up,0.35,0.35,0.0,0.0,0.0,0.3,0.0,0.0,0.0
cash:down,0.35,0.35,0.0,0.0,0.0,0.3,0.0,0.0,0.0
gilt_short_premium:up,0.35,0.35,0.0,0.0,0.0,0.3,0.0,0.0,0.0
gilt_short_premium:down,0.35,0.35,0.0,0.0,0.0,0.3,0.0,0.0,0.0
equity_dev:up,0.35,0.35,0.0,0.0,0.0,0.3,0.0,0.0,0.0
equity_dev:down,0.35,0.35,0.0,0.0,0.0,0.3,0.0,0.0,0.0
em_premium:up,0.35,0.3,0.0,0.0,0.0,0.35,0.0,0.0,0.0
em_premium:down,0.35,0.35,0.0,0.0,0.3,0.0,0.0,0.0,0.0
value_premium:up,0.35,0.35,0.0,0.0,0.0,0.3,0.0,0.0,0.0
value_premium:down,0.0,0.35,0.0,0.0,0.3,0.35,0.0,0.0,0.0
size_value_premium:up,0.35,0.35,0.0,0.0,0.0,0.3,0.0,0.0,0.0
size_value_premium:down,0.35,0.0,0.0,0.0,0.3,0.35,0.0,0.0,0.0
profitability_q:up,0.35,0.35,0.0,0.0,0.0,0.3,0.0,0.0,0.0
profitability_q:down,0.0,0.35,0.0,0.0,0.3,0.35,0.0,0.0,0.0
equalweight_tilt:up,0.35,0.35,0.0,0.0,0.0,0.3,0.0,0.0,0.0
equalweight_tilt:down,0.35,0.35,0.0,0.0,0.0,0.3,0.0,0.0,0.0
minvol_drag:up,0.35,0.35,0.0,0.0,0.0,0.3,0.0,0.0,0.0
minvol_drag:down,0.35,0.35,0.0,0.0,0.0,0.3,0.0,0.0,0.0
gold_real:up,0.35,0.35,0.0,0.0,0.0,0.3,0.0,0.0,0.0
gold_real:down,0.35,0.35,0.0,0.0,0.0,0.3,0.0,0.0,0.0
mf_premium:up,0.35,0.35,0.0,0.0,0.0,0.3,0.0,0.0,0.0
mf_premium:down,0.35,0.35,0.0,0.0,0.0,0.3,0.0,0.0,0.0
infra_premium:up,0.35,0.35,0.0,0.0,0.0,0.3,0.0,0.0,0.0
infra_premium:down,0.35,0.35,0.0,0.0,0.0,0.3,0.0,0.0,0.0
defence_theme:up,0.35,0.35,0.0,0.0,0.0,0.3,0.0,0.0,0.0
defence_theme:down,0.35,0.35,0.0,0.0,0.0,0.3,0.0,0.0,0.0
uranium_theme:up,0.35,0.35,0.0,0.0,0.0,0.3,0.0,0.0,0.0
uranium_theme:down,0.35,0.35,0.0,0.0,0.0,0.3,0.0,0.0,0.0
uk_value_premium:up,0.35,0.3,0.0,0.0,0.35,0.0,0.0,0.0,0.0
uk_value_premium:down,0.35,0.35,0.0,0.0,0.0,0.3,0.0,0.0,0.0
em_value_premium:up,0.35,0.3,0.0,0.0,0.0,0.35,0.0,0.0,0.0
em_value_premium:down,0.35,0.35,0.0,0.0,0.3,0.0,0.0,0.0,0.0
grid_theme:up,0.35,0.35,0.0,0.0,0.0,0.3,0.0,0.0,0.0
grid_theme:down,0.35,0.35,0.0,0.0,0.0,0.3,0.0,0.0,0.0
nuclear_theme:up,0.35,0.35,0.0,0.0,0.0,0.3,0.0,0.0,0.0
nuclear_theme:down,0.35,0.35,0.0,0.0,0.0,0.3,0.0,0.0,0.0
japan_valueup:up,0.35,0.35,0.0,0.0,0.0,0.2669,0.0331,0.0,0.0
japan_valueup:down,0.35,0.35,0.0,0.0,0.0,0.3,0.0,0.0,0.0
silver_real:up,0.35,0.35,0.0,0.0,0.0,0.3,0.0,0.0,0.0
silver_real:down,0.35,0.35,0.0,0.0,0.0,0.3,0.0,0.0,0.0
water_theme:up,0.35,0.35,0.0,0.0,0.0,0.3,0.0,0.0,0.0
water_theme:down,0.35,0.35,0.0,0.0,0.0,0.3,0.0,0.0,0.0
