combo,geo,arith,vol,months,min_weight,genuine_k,hedge_sleeves,w_AVWC,w_AVSG,w_EMIM,w_XDEW,w_IWQU,w_JMFP,w_SGLN,w_GLIN
AVWC+AVSG+EMIM+IWQU,0.0819,0.0893,0.1218,157,0.1099,True,0,0.3693,0.2895,0.2313,0.0,0.1099,0.0,0.0,0.0
AVWC+AVSG+EMIM+JMFP,0.0798,0.087,0.1205,119,0.0805,True,1,0.3529,0.3096,0.257,0.0,0.0,0.0805,0.0,0.0
AVWC+AVSG+XDEW+IWQU,0.0797,0.0874,0.1243,157,0.1567,True,0,0.375,0.3027,0.0,0.1567,0.1656,0.0,0.0,0.0
AVWC+AVSG+IWQU+GLIN,0.0795,0.0868,0.1209,157,0.109,True,1,0.3934,0.3323,0.0,0.0,0.1654,0.0,0.0,0.109
AVWC+AVSG+EMIM+XDEW,0.0791,0.0886,0.138,211,0.1568,True,0,0.3418,0.2829,0.2184,0.1568,0.0,0.0,0.0,0.0
AVWC+AVSG+EMIM+GLIN,0.0789,0.088,0.1346,211,0.1092,True,1,0.3644,0.3069,0.2196,0.0,0.0,0.0,0.0,0.1092
AVWC+AVSG+IWQU+SGLN,0.0786,0.085,0.1129,157,0.1033,True,1,0.3905,0.3395,0.0,0.0,0.1668,0.0,0.1033,0.0
AVWC+AVSG+IWQU+JMFP,0.0785,0.0856,0.1194,89,0.073,True,1,0.3899,0.3243,0.0,0.0,0.2129,0.073,0.0,0.0
AVWC+AVSG+JMFP+GLIN,0.0782,0.0851,0.1169,119,0.09,True,2,0.3966,0.3909,0.0,0.0,0.0,0.09,0.0,0.1225
AVWC+AVSG+XDEW+JMFP,0.0781,0.0855,0.1216,119,0.0794,True,1,0.3692,0.3375,0.0,0.2139,0.0,0.0794,0.0,0.0
AVWC+AVSG+EMIM+SGLN,0.0778,0.0859,0.1269,211,0.1017,True,1,0.3574,0.2928,0.2481,0.0,0.0,0.0,0.1017,0.0
AVWC+AVSG+XDEW+GLIN,0.0769,0.0861,0.1361,211,0.1096,True,1,0.3631,0.3211,0.0,0.2062,0.0,0.0,0.0,0.1096
AVWC+AVSG+JMFP+SGLN,0.0768,0.0827,0.1083,119,0.0973,True,2,0.3973,0.3904,0.0,0.0,0.0,0.0973,0.1149,0.0
AVWC+EMIM+XDEW+IWQU,0.0768,0.0832,0.1136,157,0.1738,True,0,0.3922,0.0,0.2409,0.1738,0.1931,0.0,0.0,0.0
AVWC+EMIM+IWQU+GLIN,0.0759,0.0821,0.1112,157,0.1117,True,1,0.3989,0.0,0.2861,0.0,0.2033,0.0,0.0,0.1117
